"","year","rgn_id","rgn_name","number_stocks","adeq_assessed","percent_adeq_ass"
"68",2011,2,"Georges Bank",59,49,0.830508474576271
"69",2011,3,"Gulf of Maine",55,45,0.818181818181818
"70",2011,4,"Mid-Atlantic Bight",50,42,0.84
"71",2011,5,"Connecticut",43,38,0.883720930232558
"72",2011,6,"Maine",43,36,0.837209302325581
"73",2011,7,"Massachusetts-North",50,43,0.86
"74",2011,8,"Massachusetts-South",55,47,0.854545454545454
"75",2011,9,"New Hampshire",43,36,0.837209302325581
"76",2011,10,"New York",48,42,0.875
"77",2011,11,"Rhode Island",46,40,0.869565217391304
"78",2012,1,"Offshore",53,43,0.811320754716981
"79",2012,2,"Georges Bank",59,49,0.830508474576271
"80",2012,3,"Gulf of Maine",55,45,0.818181818181818
"81",2012,4,"Mid-Atlantic Bight",50,42,0.84
"82",2012,5,"Connecticut",43,37,0.86046511627907
"83",2012,6,"Maine",43,36,0.837209302325581
"84",2012,7,"Massachusetts-North",50,43,0.86
"85",2012,8,"Massachusetts-South",55,47,0.854545454545454
"86",2012,9,"New Hampshire",43,36,0.837209302325581
"87",2012,10,"New York",48,42,0.875
"88",2012,11,"Rhode Island",46,40,0.869565217391304
"89",2013,1,"Offshore",53,43,0.811320754716981
"90",2013,2,"Georges Bank",59,49,0.830508474576271
"91",2013,3,"Gulf of Maine",55,45,0.818181818181818
"92",2013,4,"Mid-Atlantic Bight",50,40,0.8
"93",2013,5,"Connecticut",43,35,0.813953488372093
"94",2013,6,"Maine",43,34,0.790697674418605
"95",2013,7,"Massachusetts-North",50,41,0.82
"96",2013,8,"Massachusetts-South",55,45,0.818181818181818
"97",2013,9,"New Hampshire",43,34,0.790697674418605
"98",2013,10,"New York",48,40,0.833333333333333
"99",2013,11,"Rhode Island",46,38,0.826086956521739
"100",2014,1,"Offshore",53,46,0.867924528301887
"101",2014,2,"Georges Bank",59,52,0.88135593220339
"102",2014,3,"Gulf of Maine",55,48,0.872727272727273
"103",2014,4,"Mid-Atlantic Bight",50,43,0.86
"104",2014,5,"Connecticut",43,38,0.883720930232558
"105",2014,6,"Maine",43,37,0.86046511627907
"106",2014,7,"Massachusetts-North",50,44,0.88
"107",2014,8,"Massachusetts-South",55,48,0.872727272727273
"108",2014,9,"New Hampshire",43,37,0.86046511627907
"109",2014,10,"New York",48,43,0.895833333333333
"110",2014,11,"Rhode Island",46,41,0.891304347826087
"111",2015,1,"Offshore",53,44,0.830188679245283
"112",2015,2,"Georges Bank",59,50,0.847457627118644
"113",2015,3,"Gulf of Maine",55,46,0.836363636363636
"114",2015,4,"Mid-Atlantic Bight",50,41,0.82
"115",2015,5,"Connecticut",43,36,0.837209302325581
"116",2015,6,"Maine",43,35,0.813953488372093
"117",2015,7,"Massachusetts-North",50,42,0.84
"118",2015,8,"Massachusetts-South",55,46,0.836363636363636
"119",2015,9,"New Hampshire",43,35,0.813953488372093
"120",2015,10,"New York",48,41,0.854166666666667
"121",2015,11,"Rhode Island",46,39,0.847826086956522
"122",2016,1,"Offshore",53,42,0.792452830188679
"123",2016,2,"Georges Bank",59,47,0.796610169491525
"124",2016,3,"Gulf of Maine",55,45,0.818181818181818
"125",2016,4,"Mid-Atlantic Bight",50,39,0.78
"126",2016,5,"Connecticut",43,35,0.813953488372093
"127",2016,6,"Maine",43,33,0.767441860465116
"128",2016,7,"Massachusetts-North",50,40,0.8
"129",2016,8,"Massachusetts-South",55,43,0.781818181818182
"130",2016,9,"New Hampshire",43,33,0.767441860465116
"131",2016,10,"New York",48,39,0.8125
"132",2016,11,"Rhode Island",46,38,0.826086956521739
"133",2017,1,"Offshore",53,39,0.735849056603774
"134",2017,2,"Georges Bank",59,44,0.745762711864407
"135",2017,3,"Gulf of Maine",55,41,0.745454545454545
"136",2017,4,"Mid-Atlantic Bight",50,36,0.72
"137",2017,5,"Connecticut",43,32,0.744186046511628
"138",2017,6,"Maine",43,29,0.674418604651163
"139",2017,7,"Massachusetts-North",50,36,0.72
"140",2017,8,"Massachusetts-South",55,40,0.727272727272727
"141",2017,9,"New Hampshire",43,29,0.674418604651163
"142",2017,10,"New York",48,36,0.75
"143",2017,11,"Rhode Island",46,35,0.760869565217391
