"","nmfs_original_species","stock_assessment_species_name","stock_assessment_species_location","stockid","source","stock","rgn_name","rgn_id","year","assessment","assesment_sum_5yr","adeq_assessed"
"26","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Georges Bank",2,2017,0,1,1
"27","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Gulf of Maine",3,2005,1,1,1
"28","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Gulf of Maine",3,2006,0,1,1
"29","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Gulf of Maine",3,2007,0,1,1
"30","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Gulf of Maine",3,2008,1,2,1
"31","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Gulf of Maine",3,2009,0,2,1
"32","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Gulf of Maine",3,2010,0,1,1
"33","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Gulf of Maine",3,2011,0,1,1
"34","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Gulf of Maine",3,2012,1,2,1
"35","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Gulf of Maine",3,2013,1,2,1
"36","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Gulf of Maine",3,2014,0,2,1
"37","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Gulf of Maine",3,2015,0,2,1
"38","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Gulf of Maine",3,2016,0,2,1
"39","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Gulf of Maine",3,2017,0,1,1
"40","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Mid-Atlantic Bight",4,2005,1,1,1
"41","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Mid-Atlantic Bight",4,2006,0,1,1
"42","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Mid-Atlantic Bight",4,2007,0,1,1
"43","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Mid-Atlantic Bight",4,2008,1,2,1
"44","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Mid-Atlantic Bight",4,2009,0,2,1
"45","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Mid-Atlantic Bight",4,2010,0,1,1
"46","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Mid-Atlantic Bight",4,2011,0,1,1
"47","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Mid-Atlantic Bight",4,2012,1,2,1
"48","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Mid-Atlantic Bight",4,2013,1,2,1
"49","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Mid-Atlantic Bight",4,2014,0,2,1
"50","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Mid-Atlantic Bight",4,2015,0,2,1
"51","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Mid-Atlantic Bight",4,2016,0,2,1
"52","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Mid-Atlantic Bight",4,2017,0,1,1
"53","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Connecticut",5,2005,1,1,1
"54","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Connecticut",5,2006,0,1,1
"55","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Connecticut",5,2007,0,1,1
"56","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Connecticut",5,2008,1,2,1
"57","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Connecticut",5,2009,0,2,1
"58","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Connecticut",5,2010,0,1,1
"59","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Connecticut",5,2011,0,1,1
"60","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Connecticut",5,2012,1,2,1
"61","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Connecticut",5,2013,1,2,1
"62","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Connecticut",5,2014,0,2,1
"63","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Connecticut",5,2015,0,2,1
"64","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Connecticut",5,2016,0,2,1
"65","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Connecticut",5,2017,0,1,1
"66","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Massachusetts-North",7,2005,1,1,1
"67","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Massachusetts-North",7,2006,0,1,1
"68","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Massachusetts-North",7,2007,0,1,1
"69","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Massachusetts-North",7,2008,1,2,1
"70","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Massachusetts-North",7,2009,0,2,1
"71","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Massachusetts-North",7,2010,0,1,1
"72","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Massachusetts-North",7,2011,0,1,1
"73","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Massachusetts-North",7,2012,1,2,1
"74","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Massachusetts-North",7,2013,1,2,1
"75","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Massachusetts-North",7,2014,0,2,1
"76","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Massachusetts-North",7,2015,0,2,1
"77","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Massachusetts-North",7,2016,0,2,1
"78","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Massachusetts-North",7,2017,0,1,1
"79","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Massachusetts-South",8,2005,1,1,1
"80","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Massachusetts-South",8,2006,0,1,1
"81","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Massachusetts-South",8,2007,0,1,1
"82","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Massachusetts-South",8,2008,1,2,1
"83","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Massachusetts-South",8,2009,0,2,1
"84","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Massachusetts-South",8,2010,0,1,1
"85","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Massachusetts-South",8,2011,0,1,1
"86","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Massachusetts-South",8,2012,1,2,1
"87","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Massachusetts-South",8,2013,1,2,1
"88","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Massachusetts-South",8,2014,0,2,1
"89","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Massachusetts-South",8,2015,0,2,1
"90","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Massachusetts-South",8,2016,0,2,1
"91","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Massachusetts-South",8,2017,0,1,1
"92","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","New York",10,2005,1,1,1
"93","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","New York",10,2006,0,1,1
"94","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","New York",10,2007,0,1,1
"95","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","New York",10,2008,1,2,1
"96","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","New York",10,2009,0,2,1
"97","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","New York",10,2010,0,1,1
"98","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","New York",10,2011,0,1,1
"99","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","New York",10,2012,1,2,1
"100","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","New York",10,2013,1,2,1
"101","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","New York",10,2014,0,2,1
"102","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","New York",10,2015,0,2,1
"103","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","New York",10,2016,0,2,1
"104","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","New York",10,2017,0,1,1
"105","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Rhode Island",11,2005,1,1,1
"106","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Rhode Island",11,2006,0,1,1
"107","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Rhode Island",11,2007,0,1,1
"108","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Rhode Island",11,2008,1,2,1
"109","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Rhode Island",11,2009,0,2,1
"110","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Rhode Island",11,2010,0,1,1
"111","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Rhode Island",11,2011,0,1,1
"112","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Rhode Island",11,2012,1,2,1
"113","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Rhode Island",11,2013,1,2,1
"114","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Rhode Island",11,2014,0,2,1
"115","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Rhode Island",11,2015,0,2,1
"116","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Rhode Island",11,2016,0,2,1
"117","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Rhode Island",11,2017,0,1,1
"118","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Northeast",12,2005,1,1,1
"119","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Northeast",12,2006,0,1,1
"120","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Northeast",12,2007,0,1,1
"121","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Northeast",12,2008,1,2,1
"122","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Northeast",12,2009,0,2,1
"123","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Northeast",12,2010,0,1,1
"124","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Northeast",12,2011,0,1,1
"125","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Northeast",12,2012,1,2,1
"126","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Northeast",12,2013,1,2,1
"127","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Northeast",12,2014,0,2,1
"128","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Northeast",12,2015,0,2,1
"129","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Northeast",12,2016,0,2,1
"130","COD","atlantic cod","Georges Bank","CODGBW","NMFS","GB Cod West","Northeast",12,2017,0,1,1
"131","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Gulf of Maine",3,2005,1,1,1
"132","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Gulf of Maine",3,2006,0,1,1
"133","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Gulf of Maine",3,2007,0,1,1
"134","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Gulf of Maine",3,2008,1,2,1
"135","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Gulf of Maine",3,2009,0,2,1
"136","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Gulf of Maine",3,2010,0,1,1
"137","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Gulf of Maine",3,2011,0,1,1
"138","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Gulf of Maine",3,2012,1,2,1
"139","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Gulf of Maine",3,2013,0,1,1
"140","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Gulf of Maine",3,2014,0,1,1
"141","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Gulf of Maine",3,2015,0,1,1
"142","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Gulf of Maine",3,2016,0,1,1
"143","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Gulf of Maine",3,2017,0,0,0
"144","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Maine",6,2005,1,1,1
"145","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Maine",6,2006,0,1,1
"146","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Maine",6,2007,0,1,1
"147","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Maine",6,2008,1,2,1
"148","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Maine",6,2009,0,2,1
"149","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Maine",6,2010,0,1,1
"150","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Maine",6,2011,0,1,1
"151","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Maine",6,2012,1,2,1
"152","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Maine",6,2013,0,1,1
"153","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Maine",6,2014,0,1,1
"154","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Maine",6,2015,0,1,1
"155","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Maine",6,2016,0,1,1
"156","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Maine",6,2017,0,0,0
"157","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Massachusetts-North",7,2005,1,1,1
"158","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Massachusetts-North",7,2006,0,1,1
"159","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Massachusetts-North",7,2007,0,1,1
"160","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Massachusetts-North",7,2008,1,2,1
"161","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Massachusetts-North",7,2009,0,2,1
"162","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Massachusetts-North",7,2010,0,1,1
"163","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Massachusetts-North",7,2011,0,1,1
"164","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Massachusetts-North",7,2012,1,2,1
"165","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Massachusetts-North",7,2013,0,1,1
"166","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Massachusetts-North",7,2014,0,1,1
"167","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Massachusetts-North",7,2015,0,1,1
"168","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Massachusetts-North",7,2016,0,1,1
"169","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Massachusetts-North",7,2017,0,0,0
"170","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","New Hampshire",9,2005,1,1,1
"171","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","New Hampshire",9,2006,0,1,1
"172","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","New Hampshire",9,2007,0,1,1
"173","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","New Hampshire",9,2008,1,2,1
"174","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","New Hampshire",9,2009,0,2,1
"175","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","New Hampshire",9,2010,0,1,1
"176","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","New Hampshire",9,2011,0,1,1
"177","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","New Hampshire",9,2012,1,2,1
"178","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","New Hampshire",9,2013,0,1,1
"179","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","New Hampshire",9,2014,0,1,1
"180","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","New Hampshire",9,2015,0,1,1
"181","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","New Hampshire",9,2016,0,1,1
"182","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","New Hampshire",9,2017,0,0,0
"183","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Northeast",12,2005,1,1,1
"184","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Northeast",12,2006,0,1,1
"185","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Northeast",12,2007,0,1,1
"186","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Northeast",12,2008,1,2,1
"187","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Northeast",12,2009,0,2,1
"188","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Northeast",12,2010,0,1,1
"189","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Northeast",12,2011,0,1,1
"190","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Northeast",12,2012,1,2,1
"191","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Northeast",12,2013,0,1,1
"192","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Northeast",12,2014,0,1,1
"193","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Northeast",12,2015,0,1,1
"194","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Northeast",12,2016,0,1,1
"195","COD","atlantic cod","Gulf of Maine","CODGMSS","NMFS","GOM Cod","Northeast",12,2017,0,0,0
"196","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Offshore",1,2005,1,1,1
"197","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Offshore",1,2006,0,1,1
"198","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Offshore",1,2007,0,1,1
"199","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Offshore",1,2008,1,2,1
"200","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Offshore",1,2009,0,2,1
"201","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Offshore",1,2010,0,1,1
"202","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Offshore",1,2011,0,1,1
"203","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Offshore",1,2012,1,2,1
"204","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Offshore",1,2013,0,1,1
"205","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Offshore",1,2014,0,1,1
"206","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Offshore",1,2015,1,2,1
"207","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Offshore",1,2016,0,2,1
"208","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Offshore",1,2017,1,2,1
"209","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Georges Bank",2,2005,1,3,1
"210","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Georges Bank",2,2006,0,3,1
"211","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Georges Bank",2,2007,0,2,1
"212","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Georges Bank",2,2008,1,3,1
"213","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Georges Bank",2,2009,0,2,1
"214","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Georges Bank",2,2010,0,1,1
"215","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Georges Bank",2,2011,0,1,1
"216","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Georges Bank",2,2012,1,2,1
"217","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Georges Bank",2,2013,0,1,1
"218","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Georges Bank",2,2014,0,1,1
"219","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Georges Bank",2,2015,1,2,1
"220","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Georges Bank",2,2016,0,2,1
"221","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Georges Bank",2,2017,1,2,1
"222","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Gulf of Maine",3,2005,1,3,1
"223","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Gulf of Maine",3,2006,0,3,1
"224","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Gulf of Maine",3,2007,0,2,1
"225","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Gulf of Maine",3,2008,1,3,1
"226","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Gulf of Maine",3,2009,0,2,1
"227","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Gulf of Maine",3,2010,0,1,1
"228","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Gulf of Maine",3,2011,0,1,1
"229","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Gulf of Maine",3,2012,1,2,1
"230","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Gulf of Maine",3,2013,0,1,1
"231","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Gulf of Maine",3,2014,0,1,1
"232","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Gulf of Maine",3,2015,1,2,1
"233","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Gulf of Maine",3,2016,0,2,1
"234","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Gulf of Maine",3,2017,1,2,1
"235","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Mid-Atlantic Bight",4,2005,1,3,1
"236","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Mid-Atlantic Bight",4,2006,0,3,1
"237","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Mid-Atlantic Bight",4,2007,0,2,1
"238","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Mid-Atlantic Bight",4,2008,1,3,1
"239","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Mid-Atlantic Bight",4,2009,0,2,1
"240","HADDOCK","haddock","Georges Bank","HADGBW","NMFS","GB Haddock West","Mid-Atlantic Bight",4,2010,0,1,1
