Mariculture Production Data,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Region,Species,Biomass (tons),Number of individual pieces sold for consumption,Bags,Bushels,Pieces,Pounds,Value (USD),Source ID,,Pounds,Tons conversion
2005,Maine,Blue Mussel,699.754,,,,,,"$951,269",3,,1399500,699.75
2006,Maine,Blue Mussel,581.8815,,,,,,"$553,520",3,,1163763,581.8815
2007,Maine,Blue Mussel,948.08,,,,,,"$653,867",3,,1896160,948.08
2008,Maine,Blue Mussel,316.165,,,,,,"$664,822",3,,632330,316.165
2009,Maine,Blue Mussel,471.752,,,,,,"$1,177,738",3,,943504,471.752
2010,Maine,Blue Mussel,701.304,,,,,,"$1,344,652",3,,1402608,701.304
2011,Maine,Blue Mussel,355.4395,,,,,,"$851,814",3,,710108,355.054
2012,Maine,Blue Mussel,363.4395,,,,,,"$903,045",3,,726879,363.4395
2013,Maine,Blue Mussel,709.594,,,,,,"$1,843,350",38,,1419188,709.594
2014,Maine,Blue Mussel,780.028,,,,,,"$2,067,970",38,,1560056,780.028
2015,Maine,Blue Mussel,682.7965,,,,,,"$1,808,890",38,,1365593,682.7965
2016,Maine,Blue Mussel,802.324,,,,,,"$2,051,190",38,,1604648,802.324
2005,Maine,American Oyster,970.769,,,,,,"$848,338",4,,,
2006,Maine,American Oyster,1571.714,,,,,,"$1,812,677",4,,,
2007,Maine,American Oyster,1326.4325,,,,,,"$1,220,531",4,,,
2008,Maine,American Oyster,1812.3935,,,,,,"$2,024,575",4,,,
2009,Maine,American Oyster,1279.797,,,,,,"$1,447,378",4,,,
2010,Maine,American Oyster,1480.163,,,,,,"$1,754,744",4,,,
2011,Maine,American Oyster,895.7005,,,,,,"$1,225,472",4,Not all harvest data received for this year,,
2012,Maine,American Oyster,1209.726,,,,,,"$1,851,331",4,Not all harvest data received for this year,,
2013,Maine,American Oyster,2291.3185,,,,,,"$3,113,775",39,,"4,582,637",2291.3185
2014,Maine,American Oyster,2511.765,,,,,,"$3,359,665",39,,"5,023,530",2511.765
2015,Maine,American Oyster,3800.157,,,,,,"$4,898,154",39,,"7,600,314",3800.157
2016,Maine,American Oyster,4402.1955,,,,,,"$5,964,214",39,,"8,804,391",4402.1955
1990,Maine,Atlantic Salmon,950,,,,,,No data,5,,,
1992,Maine,Atlantic Salmon,6270,,,,,,"37,500,000",5,,,
1999,Maine,Atlantic Salmon,No data,,,,,,"64,100,000",5,,,
2002,Maine,Atlantic Salmon,7450,,,,,,"30,000,000",6,"Five year average value of salmon landings is 54m, 2002 was a down year due to fallowing for disease and a severely cold winter",,
2002,Maine,Shellfish,550,,,,,,"3,000,000",6,,,
2010,Maine,"Mussels, clams, quahogs, and other shellfish (not including oysters)",700,,,,,,1350000,7,,,
2009,Maine,All aquaculture,,,,,,,"80,000,000",7,,,
2013,Massachusetts,All shellfish aquaculture,,,,,,,"$25,400,000","10, 13",From IMPLAN Model,,
2006,Massachusetts,All shellfish aquaculture,,,,,,,"$6,200,000",,,,
2015,Rhode Island,Eastern Oyster,,"8,272,172",,,,,"$5,433,948",14,"Value reflects farm gate value of all aquaculture products for consumption (not just oysters) and does not include oyster seed sales, which totaled 162,500",,
2015,Rhode Island,Hard Clam,,47325,,,,,No value reported,14,,,
2015,Rhode Island,Blue Mussel,7.9135,,,,,,No value reported,14,,,
2014,Rhode Island,American Oyster,,"7,547,132",,,,,"$5,044,917",15,"Value reflects farm gate value of all aquaculture products for consumption (not just oysters) and does not include oyster seed sales, which totaled 184,150",,
2014,Rhode Island,Hard Clam,,47325,,,,,No value reported,15,,,
2014,Rhode Island,Blue Mussel,7.9135,,,,,,No value reported,15,,,
2013,Rhode Island,American Oyster,,"6,398,979",,,,,"$4,204,656",16,"Value reflects farm gate value of all aquaculture products for consumption (not just oysters) and does not include oyster seed sales, which totaled 180,500",,
2013,Rhode Island,Hard Clam,,"38,500",,,,,No value reported,16,,,
2013,Rhode Island,Blue Mussel,3.125,,,,,,No value reported,16,,,
2012,Rhode Island,American Oyster,,"4,303,886",,,,,"$2,822,734",17,"Value reflects farm gate value of all aquaculture products for consumption (not just oysters) and does not include restoration project supply and monitoring, which totaled 189,873",,
2012,Rhode Island,Hard Clam,,"81,425",,,,,No value reported,17,,,
2012,Rhode Island,Blue Mussel,0.55,,,,,,No value reported,17,,,
2011,Rhode Island,American Oyster,,"4,074,186",,,,,"$2,459,761",18,"Value reflects farm gate value of all aquaculture products for consumption (not just oysters) and does not include restoration project supply and monitoring, which totaled 534068",,
2011,Rhode Island,Hard Clam,,"58,400",,,,,No value reported,18,,,
2011,Rhode Island,Blue Mussel,1.5,,,,,,No value reported,18,,,
2008,Rhode Island,American Oyster,,"2,680,036",,,,,"$1,692,195",19,Value reflects farm gate value of all aquaculture products for consumption (not just oysters),,
2009,Rhode Island,American Oyster,,"2,821,166",,,,,"$1,785,135",19,"Value reflects farm gate value of all aquaculture products for consumption (not just oysters) and does not include restoration project supply and monitoring, which totaled 936,243",,
2008,Rhode Island,Hard Clam,,"25,150",,,,,No value reported,19,,,
2009,Rhode Island,Hard Clam,,"52,000",,,,,No value reported,19,,,
2010,Rhode Island,All shellfish aquaculture,,No value found,,,,,"2,326,948",18,Value reflects farm gate value of all aquaculture products for consumption,,
2006,Rhode Island,All shellfish aquaculture,,,,,,,"$1,348,525","20, 21",Value reflects farm gate value of all aquaculture products for consumption,,
2007,Rhode Island,All shellfish aquaculture,,,,,,,"$1,587,857",20,Value reflects farm gate value of all aquaculture products for consumption,,
2007,Rhode Island,American Oyster,,"2,551,493",,,,,"$1,571,811",20,,,
2006,Rhode Island,American Oyster,,"2,357,736",,,,,"$1,332,470","20, 21",,,
2007,Rhode Island,Hard Clam,,"34,195",,,,,"$10,259",20,,,
2006,Rhode Island,Hard Clam,,"84,500",,,,,"$16,055","20, 21",,,
2005,Rhode Island,All shellfish aquaculture,,,,,,,"$744,319",22,Value reflects farm gate value of all aquaculture products for consumption,,
2005,Rhode Island,American Oyster,,"1,530,815",,,,,"$738,497",22,,,
2005,Rhode Island,Hard Clam,,"32,745",,,,,"$6,222",22,,,
2004,Rhode Island,All shellfish aquaculture,,,,,,,"$572,994",23,Value reflects farm gate value of all aquaculture products for consumption,,
2004,Rhode Island,American Oyster,,"1,138,718",,,,,"$568,717",23,,,
2004,Rhode Island,Hard Clam,,"23,048",,,,,"$3,696",23,,,
2003,Rhode Island,All shellfish aquaculture,,,,,,,"$556,326",24,Value reflects farm gate value of all aquaculture products for consumption,,
2003,Rhode Island,American Oyster,,"1,163,589",,,,,"$549,913",24,,,
2003,Rhode Island,Hard Clam,,"37,727",,,,,"$6,413.00",24,,,
2002,Rhode Island,All shellfish aquaculture,,,,,,,"$478,160",25,Value reflects farm gate value of all aquaculture products for consumption,,
2002,Rhode Island,American Oyster,,"908,000",,,,,"$453,520",25,,,
2002,Rhode Island,Hard Clam,,"138,199",,,,,"$24,640",25,,,
2001,Rhode Island,All shellfish aquaculture,,,,,,,"$299,998",26,Value reflects farm gate value of all aquaculture products for consumption,,
2001,Rhode Island,American Oyster,,"543,978",,,,,"$275,559",26,,,
2001,Rhode Island,Hard Clam,,"122,196",,,,,"$24,539",26,,,
2000,Rhode Island,All shellfish aquaculture,,,,,,,"314,977",27,Value reflects farm gate value of all aquaculture products for consumption,,
2000,Rhode Island,American Oyster,,"550,000",,,,,"$294,000",27,,,
2000,Rhode Island,Hard Clam,,"88,000",,,,,"$18,000",27,,,
1999,Rhode Island,All shellfish aquaculture,,,,,,,"$213,861",28,Value reflects farm gate value of all aquaculture products for consumption,,
1999,Rhode Island,American Oyster,,"350,000",,,,,"$160,000",28,,,
1999,Rhode Island,Hard Clam,,"250,000",,,,,"$45,000",28,,,
2010,Connecticut,American Oyster,,,"220,100",,,,"$8,010,682",29,~100 individuals per bag,,
2010,Connecticut,Hard Clam,,,"425,294",,,,"$17,405,284",29,"Littleneck 400 ct/bg;
           Topneck 200 ct/bg;
Cherrystones 150 ct/bg;
Chowder 100 ct/bg",,
2009,Connecticut,American Oyster,,,"187,096",,,,"$6,984,640",29,,,
2009,Connecticut,Hard Clam,,,"489,462",,,,"$17,711,497",29,,,
2008,Connecticut,American Oyster,,,"161,305",,,,"$6,380,933.00",29,,,
2008,Connecticut,Hard Clam,,,"511,659",,,,"$20,165,332",29,,,
2007,Connecticut,American Oyster,,,"135,000",,,,"$5,142,099",29,,,
2007,Connecticut,Hard Clam,,,"489,600",,,,"$20,530,892",29,,,
2006,Connecticut,American Oyster,,,"52,851",,,,"$2,205,740",29,,,
2006,Connecticut,Hard Clam,,,"422,670",,,,"$18,135,291",29,,,
2005,Connecticut,American Oyster,,,"23,041",,,,"$953,050",29,,,
2005,Connecticut,Hard Clam,,,"420,529",,,,"$16,120,029",29,,,
2004,Connecticut,American Oyster,,,"24,116",,,,"$1,356,310",29,,,
2004,Connecticut,Hard Clam,,,"403,698",,,,"$10,690,175",29,,,
2003,Connecticut,American Oyster,,,,"36,228",,,"$2,258,660",29,"Note: this year and prior they were measuring quantity in bushels, not bags",,
2002,Connecticut,Hard Clam,,,,"286,237",,,"$9,202,241",29,,,
2002,Connecticut,American Oyster,,,,"32,035",,,"$2,012,161",29,,,
2001,Connecticut,Hard Clam,,,,"281,811",,,"$9,929,575",29,,,
2001,Connecticut,American Oyster,,,,"56,325",,,"$3,244,510",29,,,
2000,Connecticut,Hard Clam,,,,"335,084",,,"$9,415,356",29,,,
2000,Connecticut,American Oyster,,,,"81,015",,,"$4,839,468",29,,,
1999,Connecticut,Hard Clam,,,,"130,000",,,"$6,500,000",29,,,
1999,Connecticut,American Oyster,,,,"170,000",,,"$11,050,000",29,,,
1998,Connecticut,Hard Clam,,,,"128,544",,,"$5,105,760",29,,,
1998,Connecticut,American Oyster,,,,"179,562",,,"$8,978,090",29,Die off of oyster stock occurred this year,,
1997,Connecticut,Hard Clam,,,,"240,768",,,"$8,667,648",29,,,
1997,Connecticut,American Oyster,,,,"196,293",,,"$5,103,618",29,Die off of oyster stock occurred this year,,
1996,Connecticut,Hard Clam,,,,"52,423",,,"$1,310,575",29,,,
1996,Connecticut,American Oyster,,,,"525,809",,,"$28,919,495",29,,,
1995,Connecticut,Hard Clam,,,,"52,257",,,"$1,306,525",29,,,
1995,Connecticut,American Oyster,,,,"751,876",,,"$41,353,180",29,,,
1994,Connecticut,Hard Clam,,,,"192,891",,,"$7,549,960",29,,,
1994,Connecticut,American Oyster,,,,"705,542",,,"$35,254,916",29,,,
1993,Connecticut,Hard Clam,,,,"157,735",,,"$6,309,400",29,,,
1993,Connecticut,American Oyster,,,,"700,882",,,"$42,052,920",29,,,
1992,Connecticut,Hard Clam,,,,"146,773",,,"$4,402,000",29,,,
1992,Connecticut,American Oyster,,,,"893,964",,,"$45,000,000",29,,,
1991,Connecticut,Hard Clam,,,,"154,026",,,"$3,827,000",29,,,
1991,Connecticut,American Oyster,,,,"540,390",,,"$26,718,000",29,,,
1990,Connecticut,Hard Clam,,,,"146,250",,,"$3,545,616",29,,,
1990,Connecticut,American Oyster,,,,"380,000",,,"$22,648,802",29,,,
,Connecticut,Shellfish,,,,,,,"$30,000,000",30,"Year unknown, but appears to be a website describing the most current conditions.  Website accessed in November 2016; Value in farm gate sales",,
,Connecticut,Hard Clam,,,,"450,000",,,,30,"Year unknown, but appears to be a website describing the most current conditions.  Website accessed in November 2016",,
,Connecticut,American Oyster,,,,"200,000",,,,30,"Year unknown, but appears to be a website describing the most current conditions.  Website accessed in November 2017",,
2008,Maine,Atlantic Salmon,9500 +,,,,,,"$56,600,000",31,,,
2007,Maine,"Finfish (salmon, trout, and baitfish)",,,,,,,"$22,000,000",31,,,
2007,Maine,Shellfish (oysters and mussels),,,,,,,"$3,000,000",31,,,
2007,Massachusetts,Shellfish (oysters and quahogs),,"172,000,000",,,,,"$11,200,000",33,,,
2007,Rhode Island,Shellfish (oysters and quahogs),,,,,,,"$1,587,857",34,Reflects farm gate value,,
2009,New York,All aquaculture (includes shellfish and finfish),,,,,,,"$20,000,000",35,reflects farm gate sales,,
2016,Massachusetts,American Oyster,,,,,"38,251,358",,"$21,711,683",39,"This table gives production by Town, so we could separate these out to match our 2 different regions if we want",,
2016,Massachusetts,Quahog,,,,,"5,554,641",,"$1,362,806",39,,,
2016,Massachusetts,All other aquaculture species,,,,,,,"$111,582",39,,,
2016,Massachusetts,Total Aquaculture Landings Value,,,,,,,"$23,186,070",39,,,
2017,Massachusetts,American Oyster,,,,,"47,849,698",,"$27,015,107",40,,,
2017,Massachusetts,Quahog,,,,,"4,429,184",,"$1,055,740",40,,,
2017,Massachusetts,Total Aquaculture Value,,,,,,,"$28,070,846",40,,,
2015,Massachusetts,American Oyster,,,,,"37,009,191",,"$21,465,746",41,,,
2015,Massachusetts,Quahog,,,,,"6,511,520",,"$1,430,490",41,,,
2015,Massachusetts,"All Other Aquaculture Species  
(Soft Shell Clam, Blue Mussel, Bay Scallop)",,,,,,,"$198,200",41,,,
2015,Massachusetts,Total Aquaculture Landings Value,,,,,,,"$23,094,437",41,,,
2014,Massachusetts,American Oyster,,,,,"32,106,354",,"$18,264,252",42,,,
2014,Massachusetts,Quahog,,,,,"14,090",,"$1,098,929",42,,,
2014,Massachusetts,"All Other Aquaculture Species  
(Soft Shell Clam, Blue Mussel, Bay Scallop)",,,,,,,"$244,880",42,,,
2014,Massachusetts,Total Aquaculture Landings Value,,,,,,,"$19,608,061",42,,,
2012,Massachusetts,American Oyster,,,,,,,"8,000,000",44,,,
2012,Massachusetts,Quahog,,,,,,,825000,44,,,
2012,Massachusetts,Total Aquaculture Landings Value,,,,,,,"9,300,000",44,,,
2011,Massachusetts,Total Aquaculture Landings Value,,,,,,,"$10,217,646",45,,,
2011,Massachusetts,American Oyster,,,,"71,831",,,,45,,,
2011,Massachusetts,Quahog,,,,"18,398",,,,45,,,
2011,Massachusetts,soft shell clams,,,,"1,815",,,,45,,,
2011,Massachusetts,bay scallops,,,,"7,500",,,,45,,,
2010,Massachusetts,American Oyster,,,,62335,,,,45,,,
2010,Massachusetts,Quahog,,,,"15,983",,,,45,,,
2010,Massachusetts,soft shell clams,,,,2025,,,,45,,,
2010,Massachusetts,bay scallops,,,,5218,,,,45,,,
2017,Rhode Island,Eastern Oyster,,"8,434,541",,,,,"$5,771,346",46,"Value reflects farm gate value of all aquaculture products for consumption (not just oysters) and does not include oyster seed sales, which totaled 260175",,
2017,Rhode Island,Hard Clam,,71000,,,,,No value reported,46,,,
2017,Rhode Island,Blue Mussel,,,,,,11876,No value reported,46,,,
2016,Rhode Island,American Oyster,,"7,818,194",,,,,"$5,325,703",47,"Value reflects farm gate value of all aquaculture products for consumption (not just oysters) and does not include oyster seed sales, which totaled 183,000",,
2016,Rhode Island,Hard Clam,,"70,500",,,,,No value reported,47,,,
2016,Rhode Island,Blue Mussel,,,,,,27000,No value reported,47,,,
1990,New York,Oysters,,,,"106,364",,,"$4,040,142",48,,,
1991,New York,Oysters,,,,"111,131",,,"$2,726,272",48,,,
1992,New York,Oysters,,,,"117,833",,,"$3,114,321",48,,,
1993,New York,Oysters,,,,"74,817",,,"$2,195,984",48,,,
1994,New York,Oysters,,,,"16,803",,,"$766,083",48,,,
1995,New York,Oysters,,,,"46,463",,,"$1,661,027",48,,,
1996,New York,Oysters,,,,"94,796",,,"$3,412,656",48,,,
1997,New York,Oysters,,,,"69,538",,,"$2,420,786",48,,,
1998,New York,Oysters,,,,"30,595",,,"$1,319,903",48,,,
1999,New York,Oysters,,,,"8,426",,,"$367,201",48,,,
2000,New York,Oysters,,,,"18,479",,,"$1,215,086",48,,,
2001,New York,Oysters,,,,"31,400",,,"$2,067,914",48,,,
2002,New York,Oysters,,,,"64,917",,,"$4,524,130",48,,,
2003,New York,Oysters,,,,"58,653",,,"$4,028,272",48,,,
2004,New York,Oysters,,,,"46,664",,,"$3,178,447",48,,,
2005,New York,Oysters,,,,"27,636",,,"$1,853,668",48,,,
2006,New York,Oysters,,,,"15,412",,,"$999,216",48,,,
2007,New York,Oysters,,,,"33,822",,,"$2,265,203",48,,,
2008,New York,Oysters,,,,"39,090",,,"$2,610,430",48,,,
2009,New York,Oysters,,,,"15,421",,,"$1,428,015",48,,,
2010,New York,Oysters,,,,"20,629",,,"$1,650,587",48,,,
2011,New York,Oysters,,,,"22,075",,,"$1,545,262",48,,,
2012,New York,Oysters,,,,"24,971",,,"$1,747,991",48,,,
2013,New York,Oysters,,,,"55,788",,,"$3,570,461",48,,,
2014,New York,Oysters,,,,"118,461",,,"$8,292,270",48,,,
2015,New York,Oysters,,,,56517,,,"$4,541,304",48,,,
2016,New York,Oysters,,,,"30,279",,,"$2,196,800",48,,,
2017,New York,Oysters,,,,"18,667",,,"$1,493,346",48,,,
1990,New York,Clams,,,,"67,510",,,"$5,108,563",48,,,
1991,New York,Clams,,,,"67,048",,,"$4,782,163",48,,,
1992,New York,Clams,,,,"68,792",,,"$4,828,004",48,,,
1993,New York,Clams,,,,"74,780",,,"$5,528,861",48,,,
1994,New York,Clams,,,,"80,528",,,"$6,088,885",48,,,
1995,New York,Clams,,,,"106,397",,,"$9,797,528",48,,,
1996,New York,Clams,,,,"102,873",,,"$7,859,533",48,,,
1997,New York,Clams,,,,"120,556",,,"$9,596,000",48,,,
1998,New York,Clams,,,,"92,778",,,"$8,434,128",48,,,
1999,New York,Clams,,,,"109,566",,,"$8,654,606",48,,,
2000,New York,Clams,,,,"76,903",,,"$6,973,345",48,,,
2001,New York,Clams,,,,"60,809",,,"$5,392,530",48,,,
2002,New York,Clams,,,,"52,982",,,"$5,123,159",48,,,
2003,New York,Clams,,,,"75,072",,,"$7,174,873",48,,,
2004,New York,Clams,,,,"77,322",,,"$7,358,698",48,,,
2005,New York,Clams,,,,"94,789",,,"$8,977,323",48,,,
2006,New York,Clams,,,,"102,318",,,"$9,139,395",48,,,
2007,New York,Clams,,,,"115,790",,,"$10,368,370",48,,,
2008,New York,Clams,,,,"104,151",,,"$9,305,892",48,,,
2009,New York,Clams,,,,"93,523",,,"$8,396,995",48,,,
2010,New York,Clams,,,,"77,462",,,"$4,974,044",48,,,
2011,New York,Clams,,,,"66,034",,,"$4,359,916",48,,,
2012,New York,Clams,,,,"90,881",,,"$6,693,675",48,,,
2013,New York,Clams,,,,"156,760",,,"$11,431,801",48,,,
2014,New York,Clams,,,,"154,205",,,"$10,599,026",48,,,
2015,New York,Clams,,,,"138,566",,,"$10,529,243",48,,,
2016,New York,Clams,,,,"155,338",,,"$10,677,143",48,,,
2017,New York,Clams,,,,"122,527",,,"$7,974,302",48,,,
1990,New York,Scallops,,,,0,,,,48,,,
1991,New York,Scallops,,,,0,,,,48,,,
1992,New York,Scallops,,,,0,,,,48,,,
1993,New York,Scallops,,,,0,,,,48,,,
1994,New York,Scallops,,,,5,,,,48,,,
1995,New York,Scallops,,,,0,,,,48,,,
1996,New York,Scallops,,,,0,,,,48,,,
1997,New York,Scallops,,,,785,,,,48,,,
1998,New York,Scallops,,,,0,,,,48,,,
1999,New York,Scallops,,,,0,,,,48,,,
2000,New York,Scallops,,,,0,,,,48,,,
2001,New York,Scallops,,,,0,,,,48,,,
2002,New York,Scallops,,,,0,,,,48,,,
2003,New York,Scallops,,,,0,,,,48,,,
2004,New York,Scallops,,,,0,,,,48,,,
2005,New York,Scallops,,,,16,,,,48,,,
2006,New York,Scallops,,,,0,,,,48,,,
2007,New York,Scallops,,,,0,,,,48,,,
2008,New York,Scallops,,,,0,,,,48,,,
2009,New York,Scallops,,,,0,,,,48,,,
2010,New York,Scallops,,,,0,,,,48,,,
2011,New York,Scallops,,,,0,,,,48,,,
2012,New York,Scallops,,,,0,,,,48,,,
2013,New York,Scallops,,,,204,,,,48,,,
2014,New York,Scallops,,,,0,,,,48,,,
2015,New York,Scallops,,,,0,,,,48,,,
2016,New York,Scallops,,,,0,,,,48,,,
2017,New York,Scallops,,,,0,,,,48,,,
2013,New Hampshire,Oysters,,"81,274",,,,,,50,,,
2014,New Hampshire,Oysters,,"153,660",,,,,,50,,,
2015,New Hampshire,Oysters,,"207,024",,,,,,49,,,
2016,New Hampshire,Oysters,,"184,832",,,,,,49,,,
2017,New Hampshire,Oysters,,329156,,,,,,52,,,
2018,New Hampshire,Oysters,,439497,,,,,,52,,,
2005,New Hampshire,Total Finfish and Shellfish,,,,,,,"$255,848",51,,,
2006,New Hampshire,Total Finfish and Shellfish,,,,,,,"$380,014",51,,,
2007,New Hampshire,Total Finfish and Shellfish,,,,,,,"$334,345",51,,,
2008,New Hampshire,Total Finfish and Shellfish,,,,,,,"$329,300",51,,,
2009,New Hampshire,Total Finfish and Shellfish,,,,,,,"$371,690",51,,,
2000,Massachusetts,Total Finfish and Shellfish,,,,,,,"$3,522,736",51,,,
2001,Massachusetts,Total Finfish and Shellfish,,,,,,,"$2,660,801",51,,,
2002,Massachusetts,Total Finfish and Shellfish,,,,,,,"$2,915,393",51,,,
2003,Massachusetts,Total Finfish and Shellfish,,,,,,,"$2,896,825",51,,,
2004,Massachusetts,Total Finfish and Shellfish,,,,,,,"$2,807,072",51,,,
2005,Massachusetts,Total Finfish and Shellfish,,,,,,,"$4,191,643",51,,,
2006,Massachusetts,Total Finfish and Shellfish,,,,,,,"$5,035,244",51,,,
2007,Massachusetts,Total Finfish and Shellfish,,,,,,,"$4,508,644",51,,,
2008,Massachusetts,Total Finfish and Shellfish,,,,,,,"$6,552,487",51,,,
