year,state,dollar_per_gallon,pay,ratio
2009,NY,2.353056666666667,57739,4.0753332525098576e-5
2009,RI,2.389406666666667,43439,5.500602377280018e-5
2010,CT,2.855616428571429,59465,4.802180153992145e-5
2010,MA,2.7542764285714285,57770,4.7676586958134476e-5
2010,ME,2.838726428571429,37338,7.60278115745736e-5
2010,NH,2.7566892857142857,45957,5.9984100043829795e-5
2010,NY,2.7723728571428574,60291,4.5983195786151455e-5
2010,RI,2.8314878571428572,44645,6.342228373038095e-5
2011,CT,3.656209285714285,61145,5.979571977617606e-5
2011,MA,3.530839761904762,59671,5.91717880026271e-5
2011,ME,3.634510714285714,38020,9.559470579394303e-5
2011,NH,3.528428809523809,47281,7.462678051487509e-5
2011,NY,3.515168571428571,61792,5.688711437449138e-5
2011,RI,3.6248669047619044,45705,7.93100734003261e-5
2012,CT,3.7748057142857143,62085,6.0800607462119906e-5
2012,MA,3.653076666666667,60898,5.9986808543247184e-5
2012,ME,3.7519061904761903,38606,9.718453583578175e-5
2012,NH,3.6422295238095237,48272,7.545221917073093e-5
2012,NY,3.6398190476190475,62669,5.808005628969742e-5
2012,RI,3.742264285714286,46716,8.010669333235478e-5
2013,CT,3.6817523809523802,62357,5.9043128773872706e-5
2013,MA,3.5552523809523806,61790,5.753766598077975e-5
2013,ME,3.6600666666666664,39279,9.318125885757444e-5
2013,NH,3.5528428571428567,48963,7.256178863923486e-5
2013,NY,3.5456142857142856,63089,5.620019790635904e-5
2013,RI,3.650428571428571,47732,7.647759514431766e-5
2014,CT,3.5376864285714285,63919,5.534639823169055e-5
2014,MA,3.420847619047619,64103,5.336485997609502e-5
2014,ME,3.5160050000000003,40442,8.693944414222838e-5
2014,NH,3.4136204761904763,51165,6.6717882853327e-5
2014,NY,3.417234047619048,65880,5.187058360077486e-5
2014,RI,3.5075733333333337,49297,7.115186184419606e-5
2015,CT,2.4996028571428575,65530,3.814440496174054e-5
2015,MA,2.4201357142857147,66692,3.628824618073704e-5
2015,ME,2.485154285714286,41791,5.9466255550579934e-5
2015,NH,2.412911428571429,52553,4.591386654560974e-5
2015,NY,2.464685476190476,67521,3.650250257239194e-5
2015,RI,2.4791340476190475,50651,4.894541169214917e-5
2016,CT,2.2482714285714285,65870,3.4131948209677066e-5
2016,MA,2.183278571428571,67432,3.2377485043133396e-5
2016,ME,2.2350321428571425,42596,5.2470470064258206e-5
2016,NH,2.1700392857142856,53563,4.051377416713563e-5
2016,NY,2.1820749999999998,67940,3.211767736237857e-5
2016,RI,2.2302178571428573,51453,4.33447584619528e-5
2017,CT,2.5252969047619045,66636,3.789688613905253e-5
2017,MA,2.4675483333333337,69929,3.5286481049826737e-5
2017,ME,2.509656666666667,43911,5.715325696674334e-5
2017,NH,2.436267857142857,55138,4.418491525160247e-5
2017,NY,2.420627619047619,70682,3.424673352547493e-5
2017,RI,2.5036411904761904,52840,4.738155167441693e-5
