"","rgn_id","area_km2","species"
"238",2,44930,"Butterfish"
"239",3,33487,"Butterfish"
"240",4,40289,"Butterfish"
"241",6,796,"Butterfish"
"242",7,2226,"Butterfish"
"243",8,269,"Butterfish"
"244",9,8,"Butterfish"
"245",10,395,"Butterfish"
"246",11,333,"Butterfish"
"247",4,6513,"Clearnose_skate"
"248",10,395,"Clearnose_skate"
"249",11,29,"Clearnose_skate"
"250",1,8737,"common_eider_normalized"
"251",2,14311,"common_eider_normalized"
"252",3,17792,"common_eider_normalized"
"253",4,30256,"common_eider_normalized"
"254",7,1432,"common_eider_normalized"
"255",8,2616,"common_eider_normalized"
"256",10,50,"common_eider_normalized"
"257",11,759,"common_eider_normalized"
"258",1,2614,"common_loon_normalized"
"259",2,7793,"common_loon_normalized"
"260",3,14617,"common_loon_normalized"
"261",4,29857,"common_loon_normalized"
"262",7,1432,"common_loon_normalized"
"263",8,2625,"common_loon_normalized"
"264",10,123,"common_loon_normalized"
"265",11,806,"common_loon_normalized"
"266",1,1697,"common_murre_normalized"
"267",2,14311,"common_murre_normalized"
"268",3,17740,"common_murre_normalized"
"269",4,16945,"common_murre_normalized"
"270",7,1328,"common_murre_normalized"
"271",8,2095,"common_murre_normalized"
"272",11,6,"common_murre_normalized"
"273",1,8737,"common_tern_normalized"
"274",2,11612,"common_tern_normalized"
"275",3,14611,"common_tern_normalized"
"276",4,31515,"common_tern_normalized"
"277",7,1432,"common_tern_normalized"
"278",8,1730,"common_tern_normalized"
"279",10,123,"common_tern_normalized"
"280",11,806,"common_tern_normalized"
"281",1,8737,"corys_shearwater_normalized"
"282",2,13738,"corys_shearwater_normalized"
"283",3,7833,"corys_shearwater_normalized"
"284",4,29991,"corys_shearwater_normalized"
"285",7,1089,"corys_shearwater_normalized"
"286",8,1778,"corys_shearwater_normalized"
"287",11,162,"corys_shearwater_normalized"
"288",1,4,"Cunner"
"289",2,22081,"Cunner"
"290",3,10295,"Cunner"
"291",4,6379,"Cunner"
"292",6,754,"Cunner"
"293",7,2158,"Cunner"
"294",8,237,"Cunner"
"295",9,8,"Cunner"
"296",10,41,"Cunner"
"297",11,333,"Cunner"
"298",1,278,"Cusk"
"299",2,1548,"Cusk"
"300",3,29010,"Cusk"
"301",6,136,"Cusk"
"302",7,39,"Cusk"
"303",1,565,"Cuviers beaked whale"
"304",2,5001,"Cuviers beaked whale"
"305",3,8311,"Cuviers beaked whale"
"306",4,10087,"Cuviers beaked whale"
"307",7,900,"Cuviers beaked whale"
"308",8,2416,"Cuviers beaked whale"
"309",1,6147,"double_crested_cormorant_normalized"
"310",2,11748,"double_crested_cormorant_normalized"
"311",3,17738,"double_crested_cormorant_normalized"
"312",4,29791,"double_crested_cormorant_normalized"
"313",7,1432,"double_crested_cormorant_normalized"
"314",8,2625,"double_crested_cormorant_normalized"
"315",10,123,"double_crested_cormorant_normalized"
"316",11,806,"double_crested_cormorant_normalized"
"317",1,8125,"dovekie_normalized"
"318",2,14311,"dovekie_normalized"
"319",3,17149,"dovekie_normalized"
"320",4,20483,"dovekie_normalized"
"321",7,1002,"dovekie_normalized"
"322",8,2616,"dovekie_normalized"
"323",11,500,"dovekie_normalized"
"324",3,17778,"Fin whale"
"325",4,1003,"Fin whale"
"326",7,1390,"Fin whale"
"327",8,408,"Fin whale"
"328",11,349,"Fin whale"
"329",1,891,"Fourspot_flounder"
"330",2,38866,"Fourspot_flounder"
"331",3,22870,"Fourspot_flounder"
"332",4,38807,"Fourspot_flounder"
"333",6,44,"Fourspot_flounder"
"334",7,2226,"Fourspot_flounder"
"335",8,235,"Fourspot_flounder"
"336",9,8,"Fourspot_flounder"
"337",10,5,"Fourspot_flounder"
"338",11,333,"Fourspot_flounder"
"339",1,1569,"Gervais beaked whale"
"340",2,3924,"Gervais beaked whale"
"341",3,8416,"Gervais beaked whale"
"342",4,12066,"Gervais beaked whale"
"343",7,988,"Gervais beaked whale"
"344",8,2350,"Gervais beaked whale"
"345",1,891,"Goosefish"
"346",2,30354,"Goosefish"
"347",3,58185,"Goosefish"
"348",4,35916,"Goosefish"
"349",6,796,"Goosefish"
"350",7,1963,"Goosefish"
"351",8,2,"Goosefish"
"352",9,8,"Goosefish"
"353",10,31,"Goosefish"
"354",11,15,"Goosefish"
"355",1,7098,"great_black_backed_gull_normalized"
"356",2,14265,"great_black_backed_gull_normalized"
"357",3,17789,"great_black_backed_gull_normalized"
"358",4,26425,"great_black_backed_gull_normalized"
"359",7,1432,"great_black_backed_gull_normalized"
"360",8,2625,"great_black_backed_gull_normalized"
"361",10,123,"great_black_backed_gull_normalized"
"362",11,806,"great_black_backed_gull_normalized"
"363",1,4153,"great_shearwater_normalized"
"364",2,14311,"great_shearwater_normalized"
"365",3,17786,"great_shearwater_normalized"
"366",4,26540,"great_shearwater_normalized"
"367",7,1380,"great_shearwater_normalized"
"368",8,2616,"great_shearwater_normalized"
"369",11,312,"great_shearwater_normalized"
"370",1,8737,"great_skua_normalized"
"371",2,14311,"great_skua_normalized"
"372",3,14333,"great_skua_normalized"
"373",4,23430,"great_skua_normalized"
"374",7,266,"great_skua_normalized"
"375",8,2515,"great_skua_normalized"
"376",1,891,"Gulf_stream_flounder"
"377",2,27419,"Gulf_stream_flounder"
"378",3,991,"Gulf_stream_flounder"
"379",4,39700,"Gulf_stream_flounder"
"380",8,239,"Gulf_stream_flounder"
"381",10,183,"Gulf_stream_flounder"
"382",11,333,"Gulf_stream_flounder"
"383",1,354,"Haddock"
"384",2,39827,"Haddock"
"385",3,58255,"Haddock"
"386",4,5606,"Haddock"
"387",6,796,"Haddock"
"388",7,1416,"Haddock"
"389",9,8,"Haddock"
"390",3,11066,"Harbor porpoise"
"391",7,553,"Harbor porpoise"
"392",11,24,"Harbor porpoise"
"393",1,1368,"herring_gull_normalized"
"394",2,14311,"herring_gull_normalized"
"395",3,17792,"herring_gull_normalized"
"396",4,26100,"herring_gull_normalized"
"397",7,1432,"herring_gull_normalized"
"398",8,2625,"herring_gull_normalized"
"399",10,123,"herring_gull_normalized"
"400",11,806,"herring_gull_normalized"
"401",1,8737,"horned_grebe_normalized"
"402",2,14311,"horned_grebe_normalized"
"403",3,10568,"horned_grebe_normalized"
"404",4,33149,"horned_grebe_normalized"
"405",7,572,"horned_grebe_normalized"
"406",8,2625,"horned_grebe_normalized"
"407",10,123,"horned_grebe_normalized"
"408",11,806,"horned_grebe_normalized"
"409",3,57,"Horseshoe_crab"
"410",4,4705,"Horseshoe_crab"
"411",7,475,"Horseshoe_crab"
"412",10,327,"Horseshoe_crab"
"413",3,12465,"Humpback whale"
"414",4,1019,"Humpback whale"
"415",7,1070,"Humpback whale"
"416",8,255,"Humpback whale"
"417",11,424,"Humpback whale"
"418",1,891,"Jonah_crab"
"419",2,30671,"Jonah_crab"
"420",3,58283,"Jonah_crab"
"421",4,33483,"Jonah_crab"
"422",6,796,"Jonah_crab"
"423",7,2226,"Jonah_crab"
"424",8,255,"Jonah_crab"
"425",9,8,"Jonah_crab"
"426",10,1,"Jonah_crab"
"427",11,333,"Jonah_crab"
"428",1,1758,"laughing_gull_normalized"
"429",2,168,"laughing_gull_normalized"
"430",3,3868,"laughing_gull_normalized"
"431",4,15633,"laughing_gull_normalized"
"432",7,1033,"laughing_gull_normalized"
"433",8,123,"laughing_gull_normalized"
"434",10,123,"laughing_gull_normalized"
"435",11,806,"laughing_gull_normalized"
"436",1,4240,"leachs_storm_petrel_normalized"
"437",2,14304,"leachs_storm_petrel_normalized"
"438",3,15816,"leachs_storm_petrel_normalized"
"439",4,11436,"leachs_storm_petrel_normalized"
"440",7,8,"leachs_storm_petrel_normalized"
"441",8,2097,"leachs_storm_petrel_normalized"
"442",1,3607,"least_tern_normalized"
"443",3,2607,"least_tern_normalized"
"444",4,11698,"least_tern_normalized"
"445",7,440,"least_tern_normalized"
"446",8,9,"least_tern_normalized"
"447",10,94,"least_tern_normalized"
"448",11,148,"least_tern_normalized"
"449",1,199,"Little_skate"
"450",2,43825,"Little_skate"
"451",3,4350,"Little_skate"
"452",4,34102,"Little_skate"
"453",6,35,"Little_skate"
"454",7,2226,"Little_skate"
"455",8,269,"Little_skate"
"456",9,8,"Little_skate"
"457",10,395,"Little_skate"
"458",11,333,"Little_skate"
"459",2,1440,"Long finned pilot whale"
"460",3,16751,"Long finned pilot whale"
"461",4,1059,"Long finned pilot whale"
"462",7,1954,"Long finned pilot whale"
"463",8,1777,"Long finned pilot whale"
"464",11,19,"Long finned pilot whale"
"465",1,8737,"long_tailed_duck_normalized"
"466",2,14311,"long_tailed_duck_normalized"
"467",3,17786,"long_tailed_duck_normalized"
"468",4,27669,"long_tailed_duck_normalized"
"469",7,1432,"long_tailed_duck_normalized"
"470",8,2625,"long_tailed_duck_normalized"
"471",10,123,"long_tailed_duck_normalized"
"472",11,806,"long_tailed_duck_normalized"
"473",1,891,"Longfin_squid"
"474",2,44134,"Longfin_squid"
"475",3,19537,"Longfin_squid"
"476",4,40289,"Longfin_squid"
"477",6,32,"Longfin_squid"
"478",7,2226,"Longfin_squid"
"479",8,269,"Longfin_squid"
"480",9,8,"Longfin_squid"
"481",10,395,"Longfin_squid"
"482",11,333,"Longfin_squid"
"483",1,53,"Longhorn_sculpin"
"484",2,41732,"Longhorn_sculpin"
"485",3,22883,"Longhorn_sculpin"
"486",4,16964,"Longhorn_sculpin"
"487",6,796,"Longhorn_sculpin"
"488",7,2226,"Longhorn_sculpin"
"489",8,269,"Longhorn_sculpin"
"490",9,8,"Longhorn_sculpin"
"491",10,207,"Longhorn_sculpin"
"492",11,333,"Longhorn_sculpin"
"493",1,8737,"manx_shearwater_normalized"
"494",2,14311,"manx_shearwater_normalized"
"495",3,10053,"manx_shearwater_normalized"
"496",4,23962,"manx_shearwater_normalized"
"497",7,171,"manx_shearwater_normalized"
"498",8,2584,"manx_shearwater_normalized"
"499",11,81,"manx_shearwater_normalized"
"500",1,3245,"Minke whale"
"501",3,18569,"Minke whale"
"502",4,4474,"Minke whale"
"503",7,1102,"Minke whale"
"504",8,286,"Minke whale"
"505",11,379,"Minke whale"
"506",3,7084,"North Atlantic right whale"
"507",4,3574,"North Atlantic right whale"
"508",7,353,"North Atlantic right whale"
"509",8,11,"North Atlantic right whale"
"510",11,710,"North Atlantic right whale"
"511",1,11,"northern_fulmar_normalized"
"512",2,10219,"northern_fulmar_normalized"
"513",3,16029,"northern_fulmar_normalized"
"514",4,7655,"northern_fulmar_normalized"
"515",7,731,"northern_fulmar_normalized"
"516",8,1568,"northern_fulmar_normalized"
"517",11,3,"northern_fulmar_normalized"
"518",1,964,"northern_gannet_normalized"
"519",2,8640,"northern_gannet_normalized"
"520",3,17778,"northern_gannet_normalized"
"521",4,14745,"northern_gannet_normalized"
"522",7,1432,"northern_gannet_normalized"
"523",8,2577,"northern_gannet_normalized"
"524",10,123,"northern_gannet_normalized"
"525",11,806,"northern_gannet_normalized"
"526",1,342,"Northern_kingfish"
"527",2,75,"Northern_kingfish"
"528",4,17955,"Northern_kingfish"
"529",7,87,"Northern_kingfish"
"530",8,216,"Northern_kingfish"
"531",10,395,"Northern_kingfish"
"532",11,306,"Northern_kingfish"
"533",2,25205,"Northern_pipefish"
"534",3,1485,"Northern_pipefish"
"535",4,7540,"Northern_pipefish"
"536",7,1735,"Northern_pipefish"
"537",8,269,"Northern_pipefish"
"538",10,147,"Northern_pipefish"
"539",11,206,"Northern_pipefish"
"540",4,11146,"Northern_puffer"
"541",8,64,"Northern_puffer"
"542",10,395,"Northern_puffer"
"543",11,333,"Northern_puffer"
"544",2,30325,"Northern_sand_lance"
"545",3,15450,"Northern_sand_lance"
"546",4,19238,"Northern_sand_lance"
"547",6,32,"Northern_sand_lance"
"548",7,1878,"Northern_sand_lance"
"549",8,259,"Northern_sand_lance"
"550",9,8,"Northern_sand_lance"
"551",10,395,"Northern_sand_lance"
"552",11,190,"Northern_sand_lance"
"553",1,562,"Northern_searobin"
"554",2,40406,"Northern_searobin"
"555",3,2606,"Northern_searobin"
"556",4,39829,"Northern_searobin"
"557",6,35,"Northern_searobin"
"558",7,2141,"Northern_searobin"
"559",8,269,"Northern_searobin"
"560",9,8,"Northern_searobin"
"561",10,395,"Northern_searobin"
"562",11,333,"Northern_searobin"
"563",1,891,"Northern_shortfin_squid"
"564",2,38682,"Northern_shortfin_squid"
"565",3,57683,"Northern_shortfin_squid"
"566",4,17285,"Northern_shortfin_squid"
"567",6,796,"Northern_shortfin_squid"
"568",7,546,"Northern_shortfin_squid"
"569",9,7,"Northern_shortfin_squid"
"570",2,115,"Northern_shrimp"
"571",3,44584,"Northern_shrimp"
"572",6,796,"Northern_shrimp"
"573",7,23,"Northern_shrimp"
"574",9,7,"Northern_shrimp"
"575",1,394,"Ocean_pout"
"576",2,43178,"Ocean_pout"
"577",3,47551,"Ocean_pout"
"578",4,30561,"Ocean_pout"
"579",6,98,"Ocean_pout"
"580",7,2226,"Ocean_pout"
"581",8,229,"Ocean_pout"
"582",9,8,"Ocean_pout"
"583",10,181,"Ocean_pout"
"584",11,333,"Ocean_pout"
"585",1,8737,"parasitic_jaeger_normalized"
"586",2,14311,"parasitic_jaeger_normalized"
"587",3,17792,"parasitic_jaeger_normalized"
"588",4,29880,"parasitic_jaeger_normalized"
"589",7,1432,"parasitic_jaeger_normalized"
"590",8,2625,"parasitic_jaeger_normalized"
"591",10,123,"parasitic_jaeger_normalized"
"592",11,806,"parasitic_jaeger_normalized"
"593",2,157,"Pinfish"
"594",4,16314,"Pinfish"
"595",8,222,"Pinfish"
"596",10,199,"Pinfish"
"597",11,212,"Pinfish"
"598",2,3983,"Pollock"
"599",3,56242,"Pollock"
"600",6,796,"Pollock"
"601",7,850,"Pollock"
"602",9,7,"Pollock"
"603",1,8737,"pomarine_jaeger_normalized"
"604",2,13793,"pomarine_jaeger_normalized"
"605",3,15608,"pomarine_jaeger_normalized"
"606",4,25143,"pomarine_jaeger_normalized"
"607",7,347,"pomarine_jaeger_normalized"
"608",8,2446,"pomarine_jaeger_normalized"
"609",11,49,"pomarine_jaeger_normalized"
"610",1,8737,"razorbill_normalized"
"611",2,14311,"razorbill_normalized"
"612",3,17792,"razorbill_normalized"
"613",4,27835,"razorbill_normalized"
"614",7,1432,"razorbill_normalized"
"615",8,2625,"razorbill_normalized"
"616",10,123,"razorbill_normalized"
"617",11,806,"razorbill_normalized"
"618",1,1478,"red_breasted_merganser_normalized"
"619",2,13676,"red_breasted_merganser_normalized"
"620",3,17792,"red_breasted_merganser_normalized"
"621",4,29293,"red_breasted_merganser_normalized"
"622",7,1432,"red_breasted_merganser_normalized"
"623",8,2625,"red_breasted_merganser_normalized"
"624",10,123,"red_breasted_merganser_normalized"
"625",11,806,"red_breasted_merganser_normalized"
"626",1,891,"Red_hake"
"627",2,36605,"Red_hake"
"628",3,58279,"Red_hake"
"629",4,31207,"Red_hake"
"630",6,796,"Red_hake"
"631",7,2158,"Red_hake"
"632",9,8,"Red_hake"
"633",1,8737,"red_necked_phalarope_normalized"
"634",2,14311,"red_necked_phalarope_normalized"
"635",3,17719,"red_necked_phalarope_normalized"
"636",4,29295,"red_necked_phalarope_normalized"
"637",7,642,"red_necked_phalarope_normalized"
"638",8,2616,"red_necked_phalarope_normalized"
"639",11,251,"red_necked_phalarope_normalized"
"640",1,8737,"red_phalarope_normalized"
"641",2,14311,"red_phalarope_normalized"
"642",3,16112,"red_phalarope_normalized"
"643",4,30091,"red_phalarope_normalized"
"644",7,1416,"red_phalarope_normalized"
"645",8,2612,"red_phalarope_normalized"
"646",10,4,"red_phalarope_normalized"
"647",11,140,"red_phalarope_normalized"
"648",1,8737,"red_throated_loon_normalized"
"649",2,11959,"red_throated_loon_normalized"
"650",3,9498,"red_throated_loon_normalized"
"651",4,33149,"red_throated_loon_normalized"
"652",7,1432,"red_throated_loon_normalized"
"653",8,2625,"red_throated_loon_normalized"
"654",10,123,"red_throated_loon_normalized"
"655",11,806,"red_throated_loon_normalized"
"656",1,5302,"ring_billed_gull_normalized"
"657",2,11410,"ring_billed_gull_normalized"
"658",3,12740,"ring_billed_gull_normalized"
"659",4,33013,"ring_billed_gull_normalized"
"660",7,1432,"ring_billed_gull_normalized"
"661",8,2625,"ring_billed_gull_normalized"
"662",10,123,"ring_billed_gull_normalized"
"663",11,806,"ring_billed_gull_normalized"
"664",2,2,"Rissos dolphin"
"665",3,24180,"Rissos dolphin"
"666",4,10571,"Rissos dolphin"
"667",7,3040,"Rissos dolphin"
"668",8,1029,"Rissos dolphin"
"669",10,2,"Rissos dolphin"
"670",11,262,"Rissos dolphin"
"671",1,8737,"roseate_tern_normalized"
"672",2,14311,"roseate_tern_normalized"
"673",3,17489,"roseate_tern_normalized"
"674",4,29688,"roseate_tern_normalized"
"675",7,1432,"roseate_tern_normalized"
"676",8,2625,"roseate_tern_normalized"
"677",10,123,"roseate_tern_normalized"
"678",11,806,"roseate_tern_normalized"
"679",1,752,"Rosette_skate"
"680",2,11238,"Rosette_skate"
"681",3,137,"Rosette_skate"
"682",4,6520,"Rosette_skate"
"683",4,5649,"Roughtail_stingray"
"684",10,18,"Roughtail_stingray"
"685",1,22,"Round_herring"
"686",2,3230,"Round_herring"
"687",4,30285,"Round_herring"
"688",8,269,"Round_herring"
"689",10,395,"Round_herring"
"690",11,333,"Round_herring"
"691",1,1607,"royal_tern_normalized"
"692",2,76,"royal_tern_normalized"
"693",3,8,"royal_tern_normalized"
"694",4,10525,"royal_tern_normalized"
"695",7,1,"royal_tern_normalized"
"696",8,11,"royal_tern_normalized"
"697",10,123,"royal_tern_normalized"
"698",11,261,"royal_tern_normalized"
"699",1,295,"Scup"
"700",2,6597,"Scup"
"701",3,1291,"Scup"
"702",4,35528,"Scup"
"703",6,6,"Scup"
"704",7,2118,"Scup"
"705",8,269,"Scup"
"706",9,8,"Scup"
"707",10,395,"Scup"
"708",11,333,"Scup"
"709",1,216,"Sea_raven"
"710",2,43010,"Sea_raven"
"711",3,51490,"Sea_raven"
"712",4,22243,"Sea_raven"
"713",6,796,"Sea_raven"
"714",7,2226,"Sea_raven"
"715",8,269,"Sea_raven"
"716",9,8,"Sea_raven"
"717",10,91,"Sea_raven"
"718",11,333,"Sea_raven"
"719",1,207,"Sea_scallop"
"720",2,35297,"Sea_scallop"
"721",3,22392,"Sea_scallop"
"722",4,31830,"Sea_scallop"
"723",6,796,"Sea_scallop"
"724",7,1917,"Sea_scallop"
"725",8,148,"Sea_scallop"
"726",9,8,"Sea_scallop"
"727",10,110,"Sea_scallop"
