State,County,Beach Name
MA,BARNSTABLE,Saints Landing
MA,BARNSTABLE,Salt Pond
MA,PLYMOUTH,Sand Hills
MA,BARNSTABLE,Sandy Neck
MA,PLYMOUTH,Scituate Lighthouse
MA,BARNSTABLE,Scusset (DCR)
MA,BARNSTABLE,Sea Street (East Dennis)
MA,BARNSTABLE,Seagull (Center)
MA,BARNSTABLE,Seagull (Left)
MA,BARNSTABLE,Seagull (Right)
MA,BARNSTABLE,Seaview Ave. Beach
MA,PLYMOUTH,Shell Point
MA,PLYMOUTH,Shining Tides Reservation
MA,PLYMOUTH,Shipyard Lane
MA,BARNSTABLE,Skaket Beach
MA,BARNSTABLE,South Cape Beach (DCR)
MA,BARNSTABLE,South Village
MA,BARNSTABLE,Stoney Beach (MBL)
MA,BARNSTABLE,Sullivan (Depot St.)
MA,PLYMOUTH,Sunrise
MA,BARNSTABLE,Sunset Beach Association
MA,BARNSTABLE,Surf Drive - East
MA,BARNSTABLE,Surf Drive - Pool
MA,BARNSTABLE,Surf Drive - West
MA,PLYMOUTH,Swift's
MA,PLYMOUTH,Swift's Neck
MA,PLYMOUTH,Tabor Academy
MA,BARNSTABLE,Thumpertown
MA,BARNSTABLE,Town Cove
MA,BARNSTABLE,Town Landing - Breakwater
MA,BARNSTABLE,Town Landing - Snail Road
MA,BARNSTABLE,Town Landing West of Coast Guard
MA,BARNSTABLE,Town Neck (Hemispheres)
MA,BARNSTABLE,Town Neck Beach
MA,BARNSTABLE,Trotting Park
MA,BARNSTABLE,Vernon St.
MA,BARNSTABLE,Wequasett Inn Resort
MA,BARNSTABLE,West Dennis - Residential
MA,BARNSTABLE,West Dennis - West
MA,PLYMOUTH,West End
MA,BARNSTABLE,West End Lot
MA,PLYMOUTH,White Horse - Full Sail
MA,PLYMOUTH,White Horse - Hill Top
MA,BARNSTABLE,Winston Ave
MA,BARNSTABLE,Wood Neck Beach
MA,BARNSTABLE,Wood Neck River
MA,PLYMOUTH,XYZ
MA,BARNSTABLE,Zylpha Road Beach
