SITE_ID,LON_DD,LAT_DD,ALBERS_X,ALBERS_Y,PSTL_CODE,EPA_REG,NCA_REGION,SAMPYEAR,ESTUARY,STATUS_ALL,WGT_56_CAT,WGT_NCA_56,WGT_91_CAT,WGT_NCA_91,CHG_PERIOD,CH9156_USE,CH9156_WGT,NCCA_SQI_STATUS
AL00-0030,-88.0197,30.7668,,,AL,EPA_REG_4,Gulf_Coast,2000,Mobile River,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0031,-87.9239,30.7701,,,AL,EPA_REG_4,Gulf_Coast,2000,Tensaw River,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0032,-87.9537,30.7326,,,AL,EPA_REG_4,Gulf_Coast,2000,Tensaw River,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0033,-88.0203,30.51,,,AL,EPA_REG_4,Gulf_Coast,2000,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0034,-88.0399,30.2704,,,AL,EPA_REG_4,Gulf_Coast,2000,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0035,-87.8897,30.2698,,,AL,EPA_REG_4,Gulf_Coast,2000,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0036,-88.0898,30.4501,,,AL,EPA_REG_4,Gulf_Coast,2000,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0037,-88.0803,30.5699,,,AL,EPA_REG_4,Gulf_Coast,2000,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0038,-88.21,30.2599,,,AL,EPA_REG_4,Gulf_Coast,2000,Mississippi Sound,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0039,-88.1496,30.3301,,,AL,EPA_REG_4,Gulf_Coast,2000,Heron Bay (Al),Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0040,-87.83,30.4,,,AL,EPA_REG_4,Gulf_Coast,2000,Weeks Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0041,-87.7501,30.2903,,,AL,EPA_REG_4,Gulf_Coast,2000,Bon Secour River,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0042,-87.5392,30.3096,,,AL,EPA_REG_4,Gulf_Coast,2000,Perdido Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0043,-88.0196,30.2501,,,AL,EPA_REG_4,Gulf_Coast,2000,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0044,-88.3198,30.3701,,,AL,EPA_REG_4,Gulf_Coast,2000,Grand Bay #2,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0045,-87.5497,30.2697,,,AL,EPA_REG_4,Gulf_Coast,2000,Gulf of Mexico,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0046,-87.5907,30.321,,,AL,EPA_REG_4,Gulf_Coast,2000,Wolf Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0047,-87.4499,30.3701,,,AL,EPA_REG_4,Gulf_Coast,2000,Perdido Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0048,-87.4,30.42,,,AL,EPA_REG_4,Gulf_Coast,2000,Perdido Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0049,-87.4002,30.4499,,,AL,EPA_REG_4,Gulf_Coast,2000,Perdido River,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL00-0050,-87.7504,30.2412,,,AL,EPA_REG_4,Gulf_Coast,2000,Little Lagoon,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0002,-88.04,30.6349,,,AL,EPA_REG_4,Gulf_Coast,2001,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0003,-88.006,30.617,,,AL,EPA_REG_4,Gulf_Coast,2001,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0004,-88.1284,30.6043,,,AL,EPA_REG_4,Gulf_Coast,2001,Dog River,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0005,-87.951,30.6433,,,AL,EPA_REG_4,Gulf_Coast,2001,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0006,-87.96,30.5967,,,AL,EPA_REG_4,Gulf_Coast,2001,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0007,-88.0591,30.4991,,,AL,EPA_REG_4,Gulf_Coast,2001,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0008,-88.0509,30.4649,,,AL,EPA_REG_4,Gulf_Coast,2001,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0009,-87.9431,30.4879,,,AL,EPA_REG_4,Gulf_Coast,2001,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0010,-87.9189,30.459,,,AL,EPA_REG_4,Gulf_Coast,2001,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0011,-88.019,30.4129,,,AL,EPA_REG_4,Gulf_Coast,2001,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0012,-88.0561,30.3748,,,AL,EPA_REG_4,Gulf_Coast,2001,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0013,-87.8901,30.3566,,,AL,EPA_REG_4,Gulf_Coast,2001,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0014,-88.0111,30.3477,,,AL,EPA_REG_4,Gulf_Coast,2001,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0015,-87.9321,30.3492,,,AL,EPA_REG_4,Gulf_Coast,2001,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0016,-87.8932,30.3015,,,AL,EPA_REG_4,Gulf_Coast,2001,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0017,-88.0911,30.3053,,,AL,EPA_REG_4,Gulf_Coast,2001,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0018,-87.9809,30.288,,,AL,EPA_REG_4,Gulf_Coast,2001,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0019,-88.275,30.3811,,,AL,EPA_REG_4,Gulf_Coast,2001,Portersville Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0020,-88.3872,30.351,,,AL,EPA_REG_4,Gulf_Coast,2001,Mississippi Sound,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0021,-88.2302,30.3399,,,AL,EPA_REG_4,Gulf_Coast,2001,Portersville Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0022,-88.3489,30.2898,,,AL,EPA_REG_4,Gulf_Coast,2001,Mississippi Sound,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0023,-88.3079,30.2768,,,AL,EPA_REG_4,Gulf_Coast,2001,Mississippi Sound,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0024,-88.2512,30.2751,,,AL,EPA_REG_4,Gulf_Coast,2001,Mississippi Sound,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0025,-88.364,30.2248,,,AL,EPA_REG_4,Gulf_Coast,2001,Mississippi Sound,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0026,-87.9771,30.9491,,,AL,EPA_REG_4,Gulf_Coast,2001,Mobile River,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0027,-87.941,30.9509,,,AL,EPA_REG_4,Gulf_Coast,2001,Tensaw River,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0028,-87.891,30.8861,,,AL,EPA_REG_4,Gulf_Coast,2001,Tensaw River,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0029,-87.9951,30.79,,,AL,EPA_REG_4,Gulf_Coast,2001,Mobile River,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0030,-88.0162,30.7664,,,AL,EPA_REG_4,Gulf_Coast,2001,Mobile River,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0031,-87.9238,30.7698,,,AL,EPA_REG_4,Gulf_Coast,2001,Tensaw River,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0033,-88.02,30.5098,,,AL,EPA_REG_4,Gulf_Coast,2001,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0034,-88.0399,30.2701,,,AL,EPA_REG_4,Gulf_Coast,2001,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0035,-87.8899,30.2699,,,AL,EPA_REG_4,Gulf_Coast,2001,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0036,-88.0899,30.45,,,AL,EPA_REG_4,Gulf_Coast,2001,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0037,-88.0798,30.57,,,AL,EPA_REG_4,Gulf_Coast,2001,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0038,-88.2102,30.2599,,,AL,EPA_REG_4,Gulf_Coast,2001,Mississippi Sound,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0039,-88.15,30.3301,,,AL,EPA_REG_4,Gulf_Coast,2001,Heron Bay (Al),Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0040,-87.83,30.4001,,,AL,EPA_REG_4,Gulf_Coast,2001,Weeks Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0041,-87.7498,30.2902,,,AL,EPA_REG_4,Gulf_Coast,2001,Bon Secour River,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0042,-87.5395,30.3092,,,AL,EPA_REG_4,Gulf_Coast,2001,Perdido Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0043,-88.02,30.2497,,,AL,EPA_REG_4,Gulf_Coast,2001,Mobile Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0044,-88.3198,30.3706,,,AL,EPA_REG_4,Gulf_Coast,2001,Grand Bay #2,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0045,-87.5501,30.2798,,,AL,EPA_REG_4,Gulf_Coast,2001,Bayou St. John,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0048,-87.3999,30.4201,,,AL,EPA_REG_4,Gulf_Coast,2001,Perdido Bay,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL01-0049,-87.4,30.4499,,,AL,EPA_REG_4,Gulf_Coast,2001,Perdido River,Target_Sampled,,0,AL,6.409359928,Period_1999_2001,Include,6.409359928,
AL06-0001,-87.8791,30.3344,,,AL,EPA_REG_4,Gulf_Coast,2006,Mobile Bay,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0002,-88.1649,30.2671,,,AL,EPA_REG_4,Gulf_Coast,2006,Mississippi Sound,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0003,-88.269,30.3523,,,AL,EPA_REG_4,Gulf_Coast,2006,Mississippi Sound,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0004,-87.8134,30.265,,,AL,EPA_REG_4,Gulf_Coast,2006,Mobile Bay,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0005,-87.9883,30.4977,,,AL,EPA_REG_4,Gulf_Coast,2006,Mobile Bay,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0006,-87.9633,30.5795,,,AL,EPA_REG_4,Gulf_Coast,2006,Mobile Bay,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0007,-88.0819,30.415,,,AL,EPA_REG_4,Gulf_Coast,2006,Mobile Bay,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0008,-87.3782,30.431,,,AL,EPA_REG_4,Gulf_Coast,2006,Perdido Bay,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0009,-87.9355,30.4549,,,AL,EPA_REG_4,Gulf_Coast,2006,Mobile Bay,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0010,-88.091,30.2653,,,AL,EPA_REG_4,Gulf_Coast,2006,Mobile Bay,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0011,-88.2375,30.333,,,AL,EPA_REG_4,Gulf_Coast,2006,Portersville Bay,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0012,-87.9202,30.3188,,,AL,EPA_REG_4,Gulf_Coast,2006,Mobile Bay,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0013,-87.9496,30.3638,,,AL,EPA_REG_4,Gulf_Coast,2006,Mobile Bay,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0014,-88.0286,30.6085,,,AL,EPA_REG_4,Gulf_Coast,2006,Mobile Bay,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0015,-87.9798,30.2781,,,AL,EPA_REG_4,Gulf_Coast,2006,Mobile Bay,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0016,-87.555,30.2899,,,AL,EPA_REG_4,Gulf_Coast,2006,Bayou St. John,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0017,-88.0471,30.6238,,,AL,EPA_REG_4,Gulf_Coast,2006,Mobile Bay,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0018,-87.8974,30.2414,,,AL,EPA_REG_4,Gulf_Coast,2006,Mobile Bay,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,POOR
AL06-0019,-87.9933,30.328,,,AL,EPA_REG_4,Gulf_Coast,2006,Mobile Bay,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0020,-87.9287,30.6315,,,AL,EPA_REG_4,Gulf_Coast,2006,Mobile Bay,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,FAIR
AL06-0021,-88.0483,30.4348,,,AL,EPA_REG_4,Gulf_Coast,2006,Mobile Bay,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0022,-88.2917,30.3861,,,AL,EPA_REG_4,Gulf_Coast,2006,Portersville Bay,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0023,-88.3425,30.2779,,,AL,EPA_REG_4,Gulf_Coast,2006,Mississippi Sound,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0024,-87.8865,30.3004,,,AL,EPA_REG_4,Gulf_Coast,2006,Mobile Bay,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0025,-88.0476,30.5007,,,AL,EPA_REG_4,Gulf_Coast,2006,Mobile Bay,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0026,-88.3735,30.2249,,,AL,EPA_REG_4,Gulf_Coast,2006,Mississippi Sound,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0027,-88.0492,30.2057,,,AL,EPA_REG_4,Gulf_Coast,2006,Pelican Bay,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0028,-88.0734,30.3566,,,AL,EPA_REG_4,Gulf_Coast,2006,Mobile Bay,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0029,-87.9934,30.6546,,,AL,EPA_REG_4,Gulf_Coast,2006,Mobile Bay,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0030,-88.0409,30.4767,,,AL,EPA_REG_4,Gulf_Coast,2006,Mobile Bay,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0031,-88.1225,30.2628,,,AL,EPA_REG_4,Gulf_Coast,2006,Dauphin Island Bay,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0032,-88.2998,30.3026,,,AL,EPA_REG_4,Gulf_Coast,2006,Mississippi Sound,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0033,-87.8691,30.2643,,,AL,EPA_REG_4,Gulf_Coast,2006,Mobile Bay,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0034,-88.0753,30.5482,,,AL,EPA_REG_4,Gulf_Coast,2006,Mobile Bay,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0035,-87.9222,30.5423,,,AL,EPA_REG_4,Gulf_Coast,2006,Mobile Bay,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0036,-88.0266,30.3115,,,AL,EPA_REG_4,Gulf_Coast,2006,Mobile Bay,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0037,-88.0149,30.7052,,,AL,EPA_REG_4,Gulf_Coast,2006,Mobile Bay,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0038,-88.3762,30.2771,,,AL,EPA_REG_4,Gulf_Coast,2006,Mississippi Sound,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0039,-87.7236,30.2493,,,AL,EPA_REG_4,Gulf_Coast,2006,Little Lagoon,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,POOR
AL06-0040,-88.1494,30.2616,,,AL,EPA_REG_4,Gulf_Coast,2006,Mississippi Sound,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0041,-87.8839,30.3654,,,AL,EPA_REG_4,Gulf_Coast,2006,Mobile Bay,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0042,-87.8254,30.3197,,,AL,EPA_REG_4,Gulf_Coast,2006,Mobile Bay,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0043,-88.1808,30.2619,,,AL,EPA_REG_4,Gulf_Coast,2006,Mississippi Sound,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,FAIR
AL06-0044,-88.3168,30.3657,,,AL,EPA_REG_4,Gulf_Coast,2006,Mississippi Sound,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0045,-87.8692,30.2418,,,AL,EPA_REG_4,Gulf_Coast,2006,Mobile Bay,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,POOR
AL06-0046,-87.9268,30.4543,,,AL,EPA_REG_4,Gulf_Coast,2006,Mobile Bay,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0047,-88.0486,30.5877,,,AL,EPA_REG_4,Gulf_Coast,2006,Mobile Bay,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0048,-88.024,30.3927,,,AL,EPA_REG_4,Gulf_Coast,2006,Mobile Bay,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0049,-87.5409,30.3058,,,AL,EPA_REG_4,Gulf_Coast,2006,Bay La Launch,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
AL06-0050,-88.0349,30.4292,,,AL,EPA_REG_4,Gulf_Coast,2006,Mobile Bay,Target_Sampled,AL,12.17778386,,0,Period_2005_2006,Include,12.17778386,GOOD
CA99-0002,-124.11725,40.83688,,,CA,EPA_REG_9,West_Coast,1999,Humboldt Bay Estuary,Target_Sampled,,0,CA_99_01,5.185217773,Period_1999_2001,Include,5.497271183,
CA99-0003,-124.14175,40.8243,,,CA,EPA_REG_9,West_Coast,1999,Humboldt Bay Estuary,Target_Sampled,,0,CA_99_01,5.185217773,Period_1999_2001,Include,5.497271183,
CA99-0004,-124.23848,40.71986,,,CA,EPA_REG_9,West_Coast,1999,Humboldt Bay Estuary,Target_Sampled,,0,CA_99_01,5.185217773,Period_1999_2001,Include,5.497271183,
