"","stockid","stocklong","year","value","metric","scientificname","commonname","areaname"
"41","ALBANATL","Albacore tuna North Atlantic",1970,1.29,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"42","ALBANATL","Albacore tuna North Atlantic",1971,1.26,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"43","ALBANATL","Albacore tuna North Atlantic",1972,1.21,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"44","ALBANATL","Albacore tuna North Atlantic",1973,1.18,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"45","ALBANATL","Albacore tuna North Atlantic",1974,1.16,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"46","ALBANATL","Albacore tuna North Atlantic",1975,1.13,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"47","ALBANATL","Albacore tuna North Atlantic",1976,1.12,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"48","ALBANATL","Albacore tuna North Atlantic",1977,1.07,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"49","ALBANATL","Albacore tuna North Atlantic",1978,1.03,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"50","ALBANATL","Albacore tuna North Atlantic",1979,0.997,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"51","ALBANATL","Albacore tuna North Atlantic",1980,0.963,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"52","ALBANATL","Albacore tuna North Atlantic",1981,0.96,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"53","ALBANATL","Albacore tuna North Atlantic",1982,0.967,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"54","ALBANATL","Albacore tuna North Atlantic",1983,0.954,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"55","ALBANATL","Albacore tuna North Atlantic",1984,0.919,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"56","ALBANATL","Albacore tuna North Atlantic",1985,0.907,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"57","ALBANATL","Albacore tuna North Atlantic",1986,0.897,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"58","ALBANATL","Albacore tuna North Atlantic",1987,0.871,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"59","ALBANATL","Albacore tuna North Atlantic",1988,0.865,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"60","ALBANATL","Albacore tuna North Atlantic",1989,0.872,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"61","ALBANATL","Albacore tuna North Atlantic",1990,0.883,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"62","ALBANATL","Albacore tuna North Atlantic",1991,0.884,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"63","ALBANATL","Albacore tuna North Atlantic",1992,0.906,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"64","ALBANATL","Albacore tuna North Atlantic",1993,0.918,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"65","ALBANATL","Albacore tuna North Atlantic",1994,0.916,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"66","ALBANATL","Albacore tuna North Atlantic",1995,0.921,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"67","ALBANATL","Albacore tuna North Atlantic",1996,0.917,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"68","ALBANATL","Albacore tuna North Atlantic",1997,0.932,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"69","ALBANATL","Albacore tuna North Atlantic",1998,0.95,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"70","ALBANATL","Albacore tuna North Atlantic",1999,0.978,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"71","ALBANATL","Albacore tuna North Atlantic",2000,0.983,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"72","ALBANATL","Albacore tuna North Atlantic",2001,0.992,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"73","ALBANATL","Albacore tuna North Atlantic",2002,1.02,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"74","ALBANATL","Albacore tuna North Atlantic",2003,1.05,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"75","ALBANATL","Albacore tuna North Atlantic",2004,1.07,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"76","ALBANATL","Albacore tuna North Atlantic",2005,1.09,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"77","ALBANATL","Albacore tuna North Atlantic",2006,1.1,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"78","ALBANATL","Albacore tuna North Atlantic",2007,1.1,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"79","ALBANATL","Albacore tuna North Atlantic",2008,1.13,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"80","ALBANATL","Albacore tuna North Atlantic",2009,1.17,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"81","ALBANATL","Albacore tuna North Atlantic",2010,1.22,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"82","ALBANATL","Albacore tuna North Atlantic",2011,1.26,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"83","ALBANATL","Albacore tuna North Atlantic",2012,1.3,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"84","ALBANATL","Albacore tuna North Atlantic",2013,1.32,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"85","ALBANATL","Albacore tuna North Atlantic",2014,1.34,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic"
"86","ATBTUNAWATL","Bluefin tuna Western Atlantic",1970,0.809,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"87","ATBTUNAWATL","Bluefin tuna Western Atlantic",1971,0.805,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"88","ATBTUNAWATL","Bluefin tuna Western Atlantic",1972,0.812,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"89","ATBTUNAWATL","Bluefin tuna Western Atlantic",1973,0.816,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"90","ATBTUNAWATL","Bluefin tuna Western Atlantic",1974,0.732,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"91","ATBTUNAWATL","Bluefin tuna Western Atlantic",1975,0.65,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"92","ATBTUNAWATL","Bluefin tuna Western Atlantic",1976,0.572,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"93","ATBTUNAWATL","Bluefin tuna Western Atlantic",1977,0.491,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"94","ATBTUNAWATL","Bluefin tuna Western Atlantic",1978,0.439,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"95","ATBTUNAWATL","Bluefin tuna Western Atlantic",1979,0.388,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"96","ATBTUNAWATL","Bluefin tuna Western Atlantic",1980,0.352,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"97","ATBTUNAWATL","Bluefin tuna Western Atlantic",1981,0.302,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"98","ATBTUNAWATL","Bluefin tuna Western Atlantic",1982,0.285,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"99","ATBTUNAWATL","Bluefin tuna Western Atlantic",1983,0.273,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"100","ATBTUNAWATL","Bluefin tuna Western Atlantic",1984,0.26,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"101","ATBTUNAWATL","Bluefin tuna Western Atlantic",1985,0.234,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"102","ATBTUNAWATL","Bluefin tuna Western Atlantic",1986,0.24,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"103","ATBTUNAWATL","Bluefin tuna Western Atlantic",1987,0.231,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"104","ATBTUNAWATL","Bluefin tuna Western Atlantic",1988,0.229,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"105","ATBTUNAWATL","Bluefin tuna Western Atlantic",1989,0.222,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"106","ATBTUNAWATL","Bluefin tuna Western Atlantic",1990,0.213,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"107","ATBTUNAWATL","Bluefin tuna Western Atlantic",1991,0.209,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"108","ATBTUNAWATL","Bluefin tuna Western Atlantic",1992,0.203,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"109","ATBTUNAWATL","Bluefin tuna Western Atlantic",1993,0.206,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"110","ATBTUNAWATL","Bluefin tuna Western Atlantic",1994,0.205,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"111","ATBTUNAWATL","Bluefin tuna Western Atlantic",1995,0.215,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"112","ATBTUNAWATL","Bluefin tuna Western Atlantic",1996,0.234,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"113","ATBTUNAWATL","Bluefin tuna Western Atlantic",1997,0.251,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"114","ATBTUNAWATL","Bluefin tuna Western Atlantic",1998,0.256,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"115","ATBTUNAWATL","Bluefin tuna Western Atlantic",1999,0.249,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"116","ATBTUNAWATL","Bluefin tuna Western Atlantic",2000,0.253,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"117","ATBTUNAWATL","Bluefin tuna Western Atlantic",2001,0.249,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"118","ATBTUNAWATL","Bluefin tuna Western Atlantic",2002,0.244,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"119","ATBTUNAWATL","Bluefin tuna Western Atlantic",2003,0.244,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"120","ATBTUNAWATL","Bluefin tuna Western Atlantic",2004,0.252,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"121","ATBTUNAWATL","Bluefin tuna Western Atlantic",2005,0.258,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"122","ATBTUNAWATL","Bluefin tuna Western Atlantic",2006,0.268,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"123","ATBTUNAWATL","Bluefin tuna Western Atlantic",2007,0.301,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"124","ATBTUNAWATL","Bluefin tuna Western Atlantic",2008,0.319,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"125","ATBTUNAWATL","Bluefin tuna Western Atlantic",2009,0.331,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"126","ATBTUNAWATL","Bluefin tuna Western Atlantic",2010,0.362,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"127","ATBTUNAWATL","Bluefin tuna Western Atlantic",2011,0.442,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"128","ATBTUNAWATL","Bluefin tuna Western Atlantic",2012,0.479,"B/Bmsy","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic"
"129","ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1973,0.456242223,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast"
"130","ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1974,0.456242223,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast"
"131","ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1975,0.736209042,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast"
"132","ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1976,1.323793723,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast"
"133","ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1977,1.562283976,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast"
"134","ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1978,1.379095811,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast"
"135","ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1979,1.040370524,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast"
"136","ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1980,0.774229227,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast"
"137","ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1981,0.642886769,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast"
"138","ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1982,0.532282594,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast"
"139","ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1983,0.404396516,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast"
"140","ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1984,0.964330153,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast"
"141","ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1985,1.306511821,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast"
"142","ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1986,1.697082815,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast"
"143","ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1987,1.983962395,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast"
"144","ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1988,2.205170745,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast"
"145","ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1989,2.149868658,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast"
"146","ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1990,2.077284667,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast"
"147","ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1991,1.973593253,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast"
"148","ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1992,2.533526891,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast"
"149","ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1993,2.865339417,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast"
"150","ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1994,3.110742431,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast"
"151","ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1995,3.25245403,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast"
"152","ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1996,3.342319923,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast"
"153","ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1997,3.096916909,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast"
"154","ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1998,2.82040647,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast"
"155","ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",1999,2.917185124,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast"
"156","ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",2000,3.145306235,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast"
"157","ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",2001,3.069265865,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast"
"158","ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast",2002,2.775473524,"B/Bmsy","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast"
"159","BIGEYEATL","Bigeye tuna Atlantic",1950,2.72,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean"
"160","BIGEYEATL","Bigeye tuna Atlantic",1951,2.72,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean"
"161","BIGEYEATL","Bigeye tuna Atlantic",1952,2.71,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean"
"162","BIGEYEATL","Bigeye tuna Atlantic",1953,2.71,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean"
"163","BIGEYEATL","Bigeye tuna Atlantic",1954,2.71,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean"
"164","BIGEYEATL","Bigeye tuna Atlantic",1955,2.7,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean"
"165","BIGEYEATL","Bigeye tuna Atlantic",1956,2.69,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean"
"166","BIGEYEATL","Bigeye tuna Atlantic",1957,2.69,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean"
"167","BIGEYEATL","Bigeye tuna Atlantic",1958,2.68,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean"
"168","BIGEYEATL","Bigeye tuna Atlantic",1959,2.68,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean"
"169","BIGEYEATL","Bigeye tuna Atlantic",1960,2.67,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean"
"170","BIGEYEATL","Bigeye tuna Atlantic",1961,2.66,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean"
"171","BIGEYEATL","Bigeye tuna Atlantic",1962,2.63,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean"
"172","BIGEYEATL","Bigeye tuna Atlantic",1963,2.6,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean"
"173","BIGEYEATL","Bigeye tuna Atlantic",1964,2.56,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean"
"174","BIGEYEATL","Bigeye tuna Atlantic",1965,2.54,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean"
"175","BIGEYEATL","Bigeye tuna Atlantic",1966,2.48,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean"
"176","BIGEYEATL","Bigeye tuna Atlantic",1967,2.46,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean"
"177","BIGEYEATL","Bigeye tuna Atlantic",1968,2.45,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean"
"178","BIGEYEATL","Bigeye tuna Atlantic",1969,2.44,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean"
"179","BIGEYEATL","Bigeye tuna Atlantic",1970,2.41,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean"
"180","BIGEYEATL","Bigeye tuna Atlantic",1971,2.36,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean"
"181","BIGEYEATL","Bigeye tuna Atlantic",1972,2.3,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean"
"182","BIGEYEATL","Bigeye tuna Atlantic",1973,2.26,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean"
"183","BIGEYEATL","Bigeye tuna Atlantic",1974,2.21,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean"
"184","BIGEYEATL","Bigeye tuna Atlantic",1975,2.15,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean"
"185","BIGEYEATL","Bigeye tuna Atlantic",1976,2.1,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean"
"186","BIGEYEATL","Bigeye tuna Atlantic",1977,2.1,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean"
"187","BIGEYEATL","Bigeye tuna Atlantic",1978,2.08,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean"
"188","BIGEYEATL","Bigeye tuna Atlantic",1979,2.07,"B/Bmsy","Thunnus obesus","Bigeye tuna","Atlantic Ocean"
