"","X","stockid","stocklong","year","value","metric","scientificname","commonname","areaname","common_noaa"
"27",27,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1939,2.113356954,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"28",28,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1940,2.029244572,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"29",29,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1941,1.909185663,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"30",30,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1942,1.735319019,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"31",31,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1943,1.565738923,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"32",32,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1944,1.411462335,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"33",33,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1945,1.275114545,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"34",34,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1946,1.160181707,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"35",35,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1947,1.042552435,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"36",36,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1948,0.926641339,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"37",37,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1949,0.825375651,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"38",38,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1950,0.745773926,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"39",39,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1951,0.666858761,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"40",40,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1952,0.609998862,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"41",41,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1953,0.577719912,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"42",42,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1954,0.56078716,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"43",43,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1955,0.550890748,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"44",44,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1956,0.538956003,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"45",45,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1957,0.520408236,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"46",46,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1958,0.497132815,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"47",47,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1959,0.479378326,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"48",48,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1960,0.468613933,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"49",49,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1961,0.462530949,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"50",50,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1962,0.451044424,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"51",51,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1963,0.445167762,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"52",52,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1964,0.450080395,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"53",53,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1965,0.45941831,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"54",54,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1966,0.469204445,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"55",55,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1967,0.475095336,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"56",56,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1968,0.481537608,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"57",57,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1969,0.486934033,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"58",58,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1970,0.471402857,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"59",59,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1971,0.436786761,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"60",60,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1972,0.390275051,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"61",61,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1973,0.342496941,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"62",62,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1974,0.30550101,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"63",63,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1975,0.282115313,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"64",64,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1976,0.260856883,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"65",65,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1977,0.238573949,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"66",66,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1978,0.21031475,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"67",67,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1979,0.176566635,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"68",68,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1980,0.144735906,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"69",69,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1981,0.121346652,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"70",70,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1982,0.101721022,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"71",71,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1983,0.085859017,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"72",72,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1984,0.074102137,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"73",73,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1985,0.064383591,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"74",74,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1986,0.057887959,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"75",75,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1987,0.055931444,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"76",76,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1988,0.057646063,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"77",77,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1989,0.062391502,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"78",78,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1990,0.069420729,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"79",79,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1991,0.06372549,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"80",80,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1992,0.054736191,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"81",81,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1993,0.062800592,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"82",82,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1994,0.074215971,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"83",83,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1995,0.091419079,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"84",84,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1996,0.115882638,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"85",85,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1997,0.148517317,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"86",86,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1998,0.18904209,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"87",87,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",1999,0.235503998,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"88",88,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",2000,0.286448106,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"89",89,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",2001,0.339665329,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"90",90,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",2002,0.395148553,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"91",91,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",2003,0.454196192,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"92",92,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",2004,0.517238681,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"93",93,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",2005,0.584806056,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"94",94,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",2006,0.656773813,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"95",95,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",2007,0.732458949,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"96",96,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",2008,0.811601781,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"97",97,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",2009,0.896969891,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"98",98,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",2010,0.99205299,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"99",99,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",2011,1.099881898,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"100",100,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",2012,1.218613933,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"101",101,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",2013,1.344634879,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"102",102,"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank",2014,1.173923561,"B/Bmsy","Sebastes fasciatus","Acadian redfish","Gulf of Maine / Georges Bank","acadian redfish"
"103",103,"ALBANATL","Albacore tuna North Atlantic",1930,2.72,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"104",104,"ALBANATL","Albacore tuna North Atlantic",1931,2.69,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"105",105,"ALBANATL","Albacore tuna North Atlantic",1932,2.65,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"106",106,"ALBANATL","Albacore tuna North Atlantic",1933,2.63,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"107",107,"ALBANATL","Albacore tuna North Atlantic",1934,2.61,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"108",108,"ALBANATL","Albacore tuna North Atlantic",1935,2.57,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"109",109,"ALBANATL","Albacore tuna North Atlantic",1936,2.53,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"110",110,"ALBANATL","Albacore tuna North Atlantic",1937,2.51,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"111",111,"ALBANATL","Albacore tuna North Atlantic",1938,2.49,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"112",112,"ALBANATL","Albacore tuna North Atlantic",1939,2.48,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"113",113,"ALBANATL","Albacore tuna North Atlantic",1940,2.46,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"114",114,"ALBANATL","Albacore tuna North Atlantic",1941,2.45,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"115",115,"ALBANATL","Albacore tuna North Atlantic",1942,2.44,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"116",116,"ALBANATL","Albacore tuna North Atlantic",1943,2.43,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"117",117,"ALBANATL","Albacore tuna North Atlantic",1944,2.41,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"118",118,"ALBANATL","Albacore tuna North Atlantic",1945,2.4,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"119",119,"ALBANATL","Albacore tuna North Atlantic",1946,2.36,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"120",120,"ALBANATL","Albacore tuna North Atlantic",1947,2.33,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"121",121,"ALBANATL","Albacore tuna North Atlantic",1948,2.31,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"122",122,"ALBANATL","Albacore tuna North Atlantic",1949,2.29,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"123",123,"ALBANATL","Albacore tuna North Atlantic",1950,2.26,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"124",124,"ALBANATL","Albacore tuna North Atlantic",1951,2.2,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"125",125,"ALBANATL","Albacore tuna North Atlantic",1952,2.16,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"126",126,"ALBANATL","Albacore tuna North Atlantic",1953,2.12,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"127",127,"ALBANATL","Albacore tuna North Atlantic",1954,2.1,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"128",128,"ALBANATL","Albacore tuna North Atlantic",1955,2.05,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"129",129,"ALBANATL","Albacore tuna North Atlantic",1956,2.03,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"130",130,"ALBANATL","Albacore tuna North Atlantic",1957,1.98,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"131",131,"ALBANATL","Albacore tuna North Atlantic",1958,1.94,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"132",132,"ALBANATL","Albacore tuna North Atlantic",1959,1.87,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"133",133,"ALBANATL","Albacore tuna North Atlantic",1960,1.81,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"134",134,"ALBANATL","Albacore tuna North Atlantic",1961,1.75,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"135",135,"ALBANATL","Albacore tuna North Atlantic",1962,1.72,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"136",136,"ALBANATL","Albacore tuna North Atlantic",1963,1.65,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"137",137,"ALBANATL","Albacore tuna North Atlantic",1964,1.57,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"138",138,"ALBANATL","Albacore tuna North Atlantic",1965,1.5,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"139",139,"ALBANATL","Albacore tuna North Atlantic",1966,1.43,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"140",140,"ALBANATL","Albacore tuna North Atlantic",1967,1.4,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"141",141,"ALBANATL","Albacore tuna North Atlantic",1968,1.34,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"142",142,"ALBANATL","Albacore tuna North Atlantic",1969,1.31,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"143",143,"ALBANATL","Albacore tuna North Atlantic",1970,1.29,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"144",144,"ALBANATL","Albacore tuna North Atlantic",1971,1.26,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"145",145,"ALBANATL","Albacore tuna North Atlantic",1972,1.21,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"146",146,"ALBANATL","Albacore tuna North Atlantic",1973,1.18,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"147",147,"ALBANATL","Albacore tuna North Atlantic",1974,1.16,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
"148",148,"ALBANATL","Albacore tuna North Atlantic",1975,1.13,"B/Bmsy","Thunnus alalunga","Albacore tuna","Northern Atlantic","albacore tuna"
