"Year","State","AFS Name","Pounds","Dollars","Collection","Confidentiality"
"2012","MASSACHUSETTS","LOBSTER, AMERICAN ","14,486,344","53,359,529","Commercial","Public"
"2012","NEW HAMPSHIRE","LOBSTER, AMERICAN ","4,229,227","17,169,373","Commercial","Public"
"2012","NEW YORK","LOBSTER, AMERICAN ","550,441","999,050","Commercial","Public"
"2012","RHODE ISLAND","LOBSTER, AMERICAN ","2,706,384","12,118,573","Commercial","Public"
"2011","CONNECTICUT","LOBSTER, AMERICAN ","198,928","942,905","Commercial","Public"
"2011","MAINE","LOBSTER, AMERICAN ","104,954,051","334,689,044","Commercial","Public"
"2011","MASSACHUSETTS","LOBSTER, AMERICAN ","13,385,393","53,364,793","Commercial","Public"
"2011","NEW HAMPSHIRE","LOBSTER, AMERICAN ","3,919,195","16,343,427","Commercial","Public"
"2011","NEW YORK","LOBSTER, AMERICAN ","344,232","1,397,583","Commercial","Public"
"2011","RHODE ISLAND","LOBSTER, AMERICAN ","2,754,067","12,765,192","Commercial","Public"
"2010","CONNECTICUT","LOBSTER, AMERICAN ","441,622","1,894,320","Commercial","Public"
"2010","MAINE","LOBSTER, AMERICAN ","96,244,299","318,298,693","Commercial","Public"
"2010","MASSACHUSETTS","LOBSTER, AMERICAN ","12,772,159","50,384,137","Commercial","Public"
"2010","NEW HAMPSHIRE","LOBSTER, AMERICAN ","3,648,004","14,836,346","Commercial","Public"
"2010","NEW YORK","LOBSTER, AMERICAN ","813,513","3,164,564","Commercial","Public"
"2010","RHODE ISLAND","LOBSTER, AMERICAN ","2,928,688","12,403,784","Commercial","Public"
"2009","CONNECTICUT","LOBSTER, AMERICAN ","412,468","1,763,002","Commercial","Public"
"2009","MAINE","LOBSTER, AMERICAN ","81,124,201","237,374,007","Commercial","Public"
"2009","MASSACHUSETTS","LOBSTER, AMERICAN ","11,789,536","42,732,262","Commercial","Public"
"2009","NEW HAMPSHIRE","LOBSTER, AMERICAN ","2,986,981","11,918,662","Commercial","Public"
"2009","NEW YORK","LOBSTER, AMERICAN ","731,811","2,619,883","Commercial","Public"
"2009","RHODE ISLAND","LOBSTER, AMERICAN ","2,842,088","11,263,548","Commercial","Public"
"2008","CONNECTICUT","LOBSTER, AMERICAN ","427,168","2,100,459","Commercial","Public"
"2008","MAINE","LOBSTER, AMERICAN ","69,908,847","245,147,946","Commercial","Public"
"2008","MASSACHUSETTS","LOBSTER, AMERICAN ","10,606,534","45,422,907","Commercial","Public"
"2008","NEW HAMPSHIRE","LOBSTER, AMERICAN ","2,568,088","12,267,309","Commercial","Public"
"2008","NEW YORK","LOBSTER, AMERICAN ","712,075","3,047,681","Commercial","Public"
"2008","RHODE ISLAND","LOBSTER, AMERICAN ","2,782,000","12,975,507","Commercial","Public"
"2007","CONNECTICUT","LOBSTER, AMERICAN ","568,696","3,222,230","Commercial","Public"
"2007","MAINE","LOBSTER, AMERICAN ","63,987,073","280,699,182","Commercial","Public"
"2007","MASSACHUSETTS","LOBSTER, AMERICAN ","10,046,120","50,706,952","Commercial","Public"
"2007","NEW HAMPSHIRE","LOBSTER, AMERICAN ","2,468,811","12,492,185","Commercial","Public"
"2007","NEW YORK","LOBSTER, AMERICAN ","911,761","4,613,511","Commercial","Public"
"2007","RHODE ISLAND","LOBSTER, AMERICAN ","2,299,744","12,150,907","Commercial","Public"
"2006","CONNECTICUT","LOBSTER, AMERICAN ","792,894","4,030,636","Commercial","Public"
"2006","MAINE","LOBSTER, AMERICAN ","75,345,905","305,443,481","Commercial","Public"
"2006","MASSACHUSETTS","LOBSTER, AMERICAN ","12,099,744","55,900,801","Commercial","Public"
"2006","NEW HAMPSHIRE","LOBSTER, AMERICAN ","2,357,063","12,581,830","Commercial","Public"
"2006","NEW YORK","LOBSTER, AMERICAN ","1,242,601","6,288,295","Commercial","Public"
"2006","RHODE ISLAND","LOBSTER, AMERICAN ","3,751,670","17,332,718","Commercial","Public"
"2005","CONNECTICUT","LOBSTER, AMERICAN ","713,901","3,821,396","Commercial","Public"
"2005","MAINE","LOBSTER, AMERICAN ","68,729,623","317,950,942","Commercial","Public"
"2005","MASSACHUSETTS","LOBSTER, AMERICAN ","11,291,146","59,165,598","Commercial","Public"
"2005","NEW HAMPSHIRE","LOBSTER, AMERICAN ","2,364,001","13,473,176","Commercial","Public"
"2005","NEW YORK","LOBSTER, AMERICAN ","1,154,470","4,395,422","Commercial","Public"
"2005","RHODE ISLAND","LOBSTER, AMERICAN ","3,174,852","16,636,227","Commercial","Public"
"2004","CONNECTICUT","LOBSTER, AMERICAN ","646,994","3,166,060","Commercial","Public"
"2004","MAINE","LOBSTER, AMERICAN ","71,574,344","289,078,847","Commercial","Public"
"2004","MASSACHUSETTS","LOBSTER, AMERICAN ","11,675,853","55,460,303","Commercial","Public"
"2004","NEW HAMPSHIRE","LOBSTER, AMERICAN ","2,851,262","13,543,506","Commercial","Public"
"2004","NEW YORK","LOBSTER, AMERICAN ","996,109","3,721,469","Commercial","Public"
"2004","RHODE ISLAND","LOBSTER, AMERICAN ","3,059,319","14,531,773","Commercial","Public"
"2003","CONNECTICUT","LOBSTER, AMERICAN ","671,119","3,170,088","Commercial","Public"
"2003","MAINE","LOBSTER, AMERICAN ","54,970,948","205,715,329","Commercial","Public"
"2003","MASSACHUSETTS","LOBSTER, AMERICAN ","11,385,049","52,329,426","Commercial","Public"
"2003","NEW YORK","LOBSTER, AMERICAN ","946,449","4,426,316","Commercial","Public"
"2003","RHODE ISLAND","LOBSTER, AMERICAN ","3,474,508","16,731,441","Commercial","Public"
"2002","CONNECTICUT","LOBSTER, AMERICAN ","1,067,121","4,225,522","Commercial","Public"
"2002","MAINE","LOBSTER, AMERICAN ","63,625,745","210,950,030","Commercial","Public"
"2002","MASSACHUSETTS","LOBSTER, AMERICAN ","12,853,380","56,568,700","Commercial","Public"
"2002","NEW HAMPSHIRE","LOBSTER, AMERICAN ","391","1,511","Commercial","Public"
"2002","NEW YORK","LOBSTER, AMERICAN ","1,440,483","5,131,295","Commercial","Public"
"2002","RHODE ISLAND","LOBSTER, AMERICAN ","3,835,050","15,875,101","Commercial","Public"
"2001","CONNECTICUT","LOBSTER, AMERICAN ","1,329,707","5,450,283","Commercial","Public"
"2001","MAINE","LOBSTER, AMERICAN ","48,617,693","153,982,266","Commercial","Public"
"2001","MASSACHUSETTS","LOBSTER, AMERICAN ","12,132,807","53,430,128","Commercial","Public"
"2001","NEW HAMPSHIRE","LOBSTER, AMERICAN ","2,027,725","8,071,915","Commercial","Public"
"2001","NEW YORK","LOBSTER, AMERICAN ","2,052,741","7,356,744","Commercial","Public"
"2001","RHODE ISLAND","LOBSTER, AMERICAN ","4,452,358","18,746,772","Commercial","Public"
"2000","CONNECTICUT","LOBSTER, AMERICAN ","1,393,565","5,500,512","Commercial","Public"
"2000","MAINE","LOBSTER, AMERICAN ","57,215,406","187,714,817","Commercial","Public"
"2000","MASSACHUSETTS","LOBSTER, AMERICAN ","15,802,888","70,116,351","Commercial","Public"
"2000","NEW HAMPSHIRE","LOBSTER, AMERICAN ","1,709,746","7,080,967","Commercial","Public"
"2000","NEW YORK","LOBSTER, AMERICAN ","2,883,468","11,555,097","Commercial","Public"
"2000","RHODE ISLAND","LOBSTER, AMERICAN ","6,907,504","28,103,381","Commercial","Public"
